Soda
Phillips Farm S
P Roasted Rainbow Carrots
Duck Fat Smashed Potatoes
Phillips Farms fennel 
 arugula salad
Vegetable Potstickers
Spinach Artichoke Dip (GF)
Korean Chicken Wings (GF)
Avocado Mash (GF)
Mac and Cheese (GF)
Eggs with Style
Avocado Toast
Blueberry Pancakes (GF)
Lemon Ricotta Pancakes (GF)
Buckwheat Banana Pancakes (GF)
Buttermilk Waffle (GF)
French Toast
Pastrami Hash
Steak 
 Eggs (GF)
Nova Benny (GF)
Chicken Chilaquiles Brunch (GF)
Egg White Omelette
B.E.L.T.
Steel Cut Oatmeal (GF)
House-Made Granola (GF)
Friedman
s Burger
Pastrami Reuben
Hand Cut Pastrami on Rye
Chicken Swisswich
Lamb Burger
Falafel Burger
B.L.A.T.
Buttermilk Fried Chicken Sandwich
Tuna Melt
s Club
Turkey Burger
Seared Wild Salmon (GF)
Fried Chicken and Cheddar Waffle (GF)
Chopped Chicken Shawarma Salad (GF)
Sesame Salmon Salad (GF)
Tomato Soup
Soup of the Day
Bowl of Tomato Soup
Toast
Market Plate (GF)
Sweet Potato Fries (GF)
Brussel Sprouts
Fresh Squeezed Juice
Iced Tea
Coffee
Hot Chocolate
Drip Coffee
Espresso
Iced Latte
Cappuccino
Latte
Cold Brew
Chai Latte
Dirty Chai
Edison roll
Friedman roll
Mexican Coke
Guacamole with Chips
Guacamole al Ponche with Chips
Nachos Verdes
Nachos con Pollo
Nachos con Carne
Elote Ponche Style
Chilate de Pollo
Ensalada del Monte
Pollo Quesadilla
Camarones Quesadilla
Al Pastor Quesadillas
Vegetariano Quesadilla
Burrito de Pollo
Burrito Alambre
Burrito Borracho
Burrito Al Pastor
Burrito del Mar
Burrito Mar y Tierra
Pollo Taco
Camarones Taco
Alambre Taco
Carne Asada Taco
Pescado Taco
El Ponche Taco
Al Pastor Taco
Carnitas Borrachas Taco
Tacos Combo
Pollo Torta
Alambre Torta
Veggie Torta
Chilaquiles
Enchiladas de Pollo
Enchiladas Suizas
Pollo Ponche
Fajita al Ponche
Carnitas Borrachas
Lenguado al Ponche
Side of Fried Sweet Plantains
Side of Pico de Gallo
Side of Rice
Side of Beans
Side of Rice and Beans
Side of Mild Hot Sauce
Side of Salsa
Side of Chip
Platanos al Ponche
Flan Casero
Tiramisu
Tres Leches
Chips and Guacamole
Charred Jalapeno Guacamole
House Poblano Queso
Tuna Ceviche Nachos
Classic Nachos
Quinoa Salad
Kale Salad
Chopped Salad
Pork Tacos
Wild Cod Tacos
Pork Belly Blat Tacos
Wild Rock Shrimp Tacos
Avocado Shroom Tacos
Rock Shrimp Taco
2 Tacos
3 Tacos
Avocado Chicken Sliders
Burnt Ends Sloppy Joe Sliders
Jamburrito Bullet
Smoked Chicken Burrito Bullet
Burn Ends Chili Burrito Bullet
Bean and Cheese Burrito Bullet
Pulled Pork Burrito Bullet
Chopped Greens Burrito Bullet
2 Burrito Bullets
Jambalaya Enchilada
Smoked Chicken Enchilada
Smoky Brisket Chili Bowl
BBQ Pork Rice Bowl
Mexican Street Corn
Poblano Mac and Cheese
Grilled Cornbread
Smoky Chicken
Brisket
Pulled Pork
Saratoga Still Water
Q Ginger Beer
Avocado Smash Brunch
Eggs Benedict Brunch
Fried Egg and Bacon Sammy Brunch
Brussel Sprout Hash Brunch
Skillet Baked Pancake Brunch
Smoked Salmon Benedict Brunch
Baked Eggs in Tomato Sauce Brunch
Shrimp 
N
 Grits Skillet Brunch
Jalapeno Mac and Cheese Brunch
Scrambled Egg Tacos Brunch
Double Cut Bacon BLT Brunch
Beef Burger
Goat Cheese Croquette Salad
Frisee Salad
Radish Caesar Salad
Green Asparagus Salad
Caramelized Pear Salad
Breakfast Flatbread Brunch
Duck Hash Brunch
Fries
Garlic Parsley Fries
Cheese Fries with Gravy
Side of Bacon
Sweet Potato Tots
Thai Deviled Eggs
Roasted Cauliflower
Everything Pretzel
Fried Wisconsin Cheese Curds
Artichoke and Sundried Tomato Cheese Dip
Buffalo Chicken Spring Rolls
Duck Confit Spring Rolls
Crispy Chicken Tenders
Dry Rubbed Crispy Chicken Wings
Bacon Wrapped Wings
Steamed Vegetable Dumplings
Mediterranean Mezze
Chicken Satay
Beef Skillet Nachos
Deep Dish Pork Nachos
New York Style Poutine
French Fries
Guacamole, Salsa 
 Spiced Tortilla Chips
Ancient Grain Bowl
Smoked Pork Taco
Grilled Shrimp Taco
Classic Margarita Flatbread
Pepperoni Flatbread
Chicken Pesto Flatbread
 Broccoli Rabe
Beef Slider
Lamb Slider
10 hour Smoked Pulled Pork
Falafel Bun
Chicken Parm Slider
Cheese Board
Cheese and Charcuterie Combo
Fish and Chips
Grilled Hanger Steak
Jalepeno Mac n Cheese
Carrot Cake
Sticky Toffee Pudding
Dark Chocolate Popsicles
Dry Rub Crispy Chicken Wings
Maple Bacon Frisee Salad
Braised Duck Sandwich
Grilled Flatiron Steak Sandwich
Grilled Chicken Sandwich
Fried Chicken Sandwich
Grilled Cheese Sandwich
Mint Lemonade
Lemonade
Sweet Lemon Tea
Arnold Palmer
Passion Fruit Lemonade
Iced Espresso
Glass Bottled Mexican Coke
Breakroom Salad
Breakroom Burger
Chopped Cheese Sandwich
Ribeye Cheesesteak Sandwich
Sesame Chicken Sandwich
Pork Belly Sandwich
Pulled Pork Sandwich
Tempura Fish Sandwich
Tempura Avocado Sandwich
Tempura Fish Taco
Grilled Steak Taco
Cheesesteak Taco
Chipotle Chicken Taco
Pork Belly Taco
Carnitas Taco
Spicy Pork Taco
Taco Platter
Tempura Avocado Taco
Veggie Taco
Bacon-Wrapped Jalapeno Hot Dog
Chili Cheese Dog
Chili Cheese Bacon Wrapped Jalapeno Hot Dog
House Dog
Breakroom Fries
Chili Cheese Fries
Tater Tots
Tempura Onion Rings
Chipotle Thai Chili
Quesadillas
Breakroom Nachos
Chips 
 Guacamole
House Slaw
Pork Belly Sampler
Cholula Hot Sauce
Chile Habanero Hot Sauce
Tavern Tots
Grilled Buffalo Wings
3 Cheese Quesadilla
Poutine
Baked Nachos
Fried Pickles
Cheeseburger Burritos
Lilly
s Salad
Kale Caesar Salad
Avocado Salad
Create Your Own Burger
Ranger Burger
Cowboy Burger
Pan-Seared Black Bean Burger
Avocado and Arugula Sandwich
Grilled Flat Iron Steak Sandwich
Smoked Salmon and Avocado Sandwich
Chef
Grilled Portobello Mushroom Wrap
Mac and Cheese Sliders
Pulled Pork Sliders
Fried Chicken Sliders
Braised Short Rib Sliders
Shepherd
s Pie
Cherry-Bourbon Glazed Salmon
Buffalo Chicken Mac and Cheese
Classic Mac and Cheese
 Bacon
Sauteed Spinach
Seasonal Vegetables
Drunken Potato
Mashed Potatoes
Hand-Cut Fries
Tater tots
s Scrambled Eggs Brunch
Eggs and Avocado Brunch
Kitchen Sink Frittata Brunch
Classic Omelette Brunch
Mexican Omelette Brunch
Bacon Benedict Brunch
Short Rib Benedict Brunch
Salmon Benedict Brunch
s Breakfast Burger
Banana Chocolate Pancakes Brunch
Crispy French Toast Brunch
Breakfast Quesadilla
Brunch Steak and Eggs
Side of Home Fries Brunch
Side of Fresh Fruit Brunch
Side of Bacon Brunch
Filet Mignon
DIET COKE
Diet Coke
COKE
Garden Veggie Sandwich
Chicken and Bacon Swisswich
Grilled Pastrami Reuben
House-Made Granola
Steel Cut Oatmeal
Blueberry Pancakes
Nova Benny
Egg White Omlette
Steak eggs
Potato Hash
Chicken Sausage
Potato Pancake
Avocado
Chicken Bacon Swisswich
Sesame Salmon Salad
Cobb Salad
Veggie Bowl
Herb Fries
Mac and Cheese
Market Plate
Sauteed Broccoli
B.E.L.T. Sandwich
Wild Mushroom Toast
Chicken Chilaquiles
Pulled Pork Benedict
Cheddar Cornbread
Spinach Artichoke Dip
Avocado Mash
Steak Nachos
Brick Chicken
Skirt Steak
Wild Ginger Salmon
Chicken Pot Pie
Grilled Asparagus
Americano
Apple Cider
Fresh Squeezed Orange Juice
Pao de Queijo
Pasteis
Stroganoff de Palmito
Prego no Pão
O Pelé
Jumbo Chicken Wings
Return of the Mac
Heavy Metal Fries
Fried Cheese Curds
Bowl of Soul
Mac 
 Cheese Balls
Mom
s Making Breakfast
Breakfast Sandwich
Mac and Cheese Pancakes
Woodland Omelet
Shrimp and Cheesy Grits
Chicken and Bacon Waffle
Steak and Eggs
Bedrock Pancakes
Pancake Burrito
Potato Skillet
1/2 lb. Mom
The Frisky Brisket
Chicken Filet Sandwich
FishFry Sandwich
Build a Burger
Adult Grilled Cheese
Crispy Chicken and Gravy Dinner Plate
Braised BBQ Brisket Dinner Plate
Korean Cauliflower
Palmito Salad
Chicken Cranberry Salad
BBQ Brisket Cobb Salad
Steak Salad
Curly Fries
Grilled Corn
Yellow Rice
Oven Roasted Vegetables
Demarco Nitro Cold Brew
Juice
Capri Sun Fruit Punch
Ginger Beer
Pink Lemonade
Seleccion de Aperitivos Clasicos
Handmade Empanadas
Empanada Sampler
Bucket of Chicharrones de Pollo
Aguacate Relleno con Langosta
Tostones Rellenos
Queso Fundido
Ceviche de Camarones
Masitas de Puerco
Mazorca Estilo Havana
Calamares Fritos
Mariquitas con Salsa de Aguacate
Ensalada de La Casa
Ensalada de Aguacate
Ensalada de Pollo con Limon Y Cana
Ensalada de Churrasco
Ensalada de Salmon con Mango
Sandwich Cubano Clasico
Sandwich de Pavo
The Big Havana Frita Burger
Ropa Vieja
Churrasco
Vaca Frita
Picadillo
Pernil Asado
Lancon al Vino
Pollo al Ajillo
Pollo con Pina
Pollo Asado
Arroz con Pollo
Pollo Y Camarones al Ajillo
Mofongo con Ropa Vieja
Mofongo con Pernil
Mofongo con Camarones
Camarones al Ajillo
Arroz con Camarones
Salmon Glaseado en Salsa de Mango
Paella Valenciana
Paella de Mariscos
Paella de Vegetales
Moro
Tostones
Maduros
Cuban Flan
Pineapple Fruit Shake
Passion Fruit Shake
Cafe con Leche
Fresh Squeezed Lemonade
Fresh Squeezed Limeade
Cortadito
Latin Spiced Hot Chocolate
Tea
Tapas with 2 Brunch Dishes
Tapas with Paella
Huevos Benedictinos Brunch
Revuelto de Gambas Brunch
Torrija Brunch
Huevos con Chorizo Brunch
Catalan Farmer
s Breakfast Brunch
Pan con Tomate
Pimientos de Padron
Coca de Setas
Espinacas a la Catalana
Ensalada Romana
Tortilla Espanola
Escalivada
Patatas Bravas
Gambas al Ajillo
Calamares
Pulpo a la Plancha
Datiles con Beicon
Pintxos Morunos
Croquetas Cremosas
Albondigas
Paella de Mariscos (Please Allow 60 minutes for this item)
Parrillada
Aged Mahon
Jamon Serrano
Jamon Iberico de Bellota Dehesa Cordobesa
Chorizo Iberico
Tabla de Queso
Tabla de Quesos y Embutidos
Ensalada de Bistec Lunch
Hinojo y Citricos Lunch
Barcelona Bowl Lunch
Churros con Chocolate
Churro S
mores
Ensalada Mixta
Cuban Caesar Salad
Empanadas Cubanas
Rabo Encendido Cubano
Arroz con Pollo y Chorizo
Pollo a la Plancha con Camarones
Chicharron de Pollo
Lechon con Mojo y Moro Negro
Camarones Enchilados
Salmon a la Parrilla
Pan con Lechon Sandwich
Lechon con Mojo
Chuletas de Cerdo
Arroz Blanco
Yuca Frita
Grilled Vegetables
Chocolate Mousse Cake
Empanadas de Guayaba y Queso
Tower of Tuna Tartare
Crab 
 Avocado Palette
Shrimp Cocktail
Crispy Calamari
Prosciutto 
 Melted Mozzarella
Beef Carpaccio
Caesar
Caprese
 Shaved Brussels Sprout
Lobster Salad
Steak Au Poivre
Pan Seared Salmon
Sesame Crusted Tuna
Havenly Chicken
Branzino
Lobster Roll
Hummus 
 Pita
Garlic Mashed Potatoes
Sauteed Mushrooms
Seaweed Salad
Truffle Fries
Tuna Tartare Wontons
Cured Meats 
 Cheeses
Haven
s Guacamole 
Mezze Platter
Seafood Linguini
Penne Pasta
Margherita Pizza
White Pizza
Sopressata Pizza
Cafe Cubano
Green Tea
Avocado Toast Brunch
Cuban Eggs Benedict Brunch
Egg Foo Young Brunch
Beef and Broccoli Brunch
Chorizo and Garbanzo Hash Brunch
Maduro and Eggs Brunch
Steamed Pork Dumplings
Empanadas
Cuban Sandwich Spring Rolls
Shiitake Spring Roll
Oxtail Croquetas
Charred Octopus in Mojo Verde
Crispy Pig
s Ear
Duck Empanada
Mixed Green Salad
Tiger Salad
Egg Noodle Soup
Farmer
s Market Salad
Pork Belly and Egg Soup
Cubano Sandwich
Mushroom Sandwich
Calle Dao Burger
Black Angus Burger
Breaded Skirt Steak in Chinese Spices Sandwich
Goat Burger
Miso Skirt Steak Sandwich
Skuna Bay Salmon
Lechon Asado
Spiced Goat Neck
Chicken and Yellow Rice
Beef and Broccoli
Mushroom and Broccoli
5-Spice Skirt Steak
Tofu stir fry
Cuban Fried Rice
Fried Rice
Grilled Skirt Steak in Chinese Spices
Market Fish
Pan-Fried Noodles
Peking-Style Half Chicken
Tofu Stir-Fry
Wok-Fried Rainbow Chard
Bacon
Yucca Fries
Moros y Cristianos
Ma-Po Maduros
Stir-Fried Cashew Cauliflower
Wok Fried Rainbow Chard
Matcha Tres Leches
Cheesecake Flan
Bunuelos
House Roasted Mixed Nuts
Shallot Potato Fries
Chicken Liver Mousse
Caprese Pesto
Quail Egg Salad
Roasted Creamed Kale Dip
Pork Lardon 
 Swiss Cheese Croquettes
Marinated Beet, Apple, 
 Fennel Salad
Langostino Poppers
Delicata Squash Tempura Salad
Homemade Corn Dogs
Hudson Valley Duck Wings Confit
Red Ravioli
Bay Scallop Pasta
Icelandic Cod in Parchment
Chicken Paillard
Organic Beef Sliders
Steak Bavette
Smashed Roots
Harissa Roasted Baby Rainbow Carrots
Bonne Bouche, Ash-ripened Goat, Vermont Creamery, VT
Cabot 
Vault 5
 Lard Aged Cheddar, Cow, Jasper Hill, VT
Spicy Kale Salad
Endive Salad
PIGS ASS SANDWICH
I KID YOU NOT, JK / Grilled Cheese
The Bronson Sandwich
MAC AND CHEESE
KALE CAESAR SALAD
ENDIVE SALAD
MUSTARD MISO PICKLES
CHISTORRAS IN A BLANKET
STUFFED PEPPADEW PEPPERS
WATERMELON 
 FETA
TRIO OF CHEESE TRUFFLES
CHEESE BOARD
GOAT CHEESE 
 HAZELNUT TRUFFLES
CHOCOLATE CAKE
Insalata Mista
Roasted Beets Herbed Goat Cheese
Buffalo Mozzarella 
 Tomato Caprese
Mediterranean Salad
Wild Boar 
 Veal Meatballs
Grilled Portuguese Sardines
Salumi
Fried Calamari
Seafood Salad
Rice Balls
Castelvetrano Marinated Olives
Casarecce Alla Norma
Orecchiette 
 Esposito
s Luganica Sausage
Whole Wheat Penne
Rigatoni Bolognese
Lasagna Della Casa
Spaghettini Vongole
Pescatore
Marinara
Calabresa Bona
Greca
Vendetta Sarda
Viddana
Baresa
Parma
Nutella
Chicken Alla Romana
Eggplant Parmigiana
Wood Oven Roasted Salmon
Grilled Frutti Di Mare
Market Fish Del Giorno
Limonata, Aranciata or Chinotto
Cannoli Piccoli Di Casa
Chocolate Amarena Cherry Mousse
Gelato Pistachio Crushed Amaretti
Panna Cotta Frangelico Fragole
Rose
Prosecco
Pinot Grigio
Trebbiano
Chianti
Montepulciano
Sangiovese
Tortino di Melanzane alla Parmigiana
Calamari Alla Griglia
Caprese Di Bufala e Peperoni Arrostiti
Guazzeto Di Cozze
Mista Della Casa
Rughetta E Pere Al Caprino
Bietole E Spinaci
Carciofi E Parmigiano
Mesculina E Noci
Spaghetti Frutti Di Mare E Rucola
Fettuccine Con Funghi, Piselli E Panna
Gnocchi Di Bietole alla Crema Di Tartuffo Nero
Tagliolini Con Vongole, Carciofi e Zafferano
Papardelle Con Gamberi E Punte Di Asparagi
Gnocchi Alla Sorrentina
Fagottino Alla Polpa Di Aragosta
Raviolo Del Giorno
Risotto Del Giorno
Papardelle All
abruzzese Con Di Cinghiale
Orecchiette Con Cime Di Rapa
Rigatoni alla Bolognese
Paccheri Con Melanzane Ricotta Salata
Pettuccine Con Funghi Porcini E Spinaci
Baccala
in Crosta Di Patate
Salmone Alla Griglia
Filetto Di Dentice In Brodetto
Agnello Scottadito Alla Romana
Scaloppine Di Vitello Ai Funghi E Marsala
Filetto Di Manzo Al Tartufo
Broccoli Rabe
Asparagus
Pasta
Rosemary Fries
Spinach
Zucchini
Two Course Meal
Calamari Marinati Alla Griglia
Crocchetta Di Formaggio Di Capra
Tegamino Di Scamorza Di Bufalo
Rigatoni Alla Bolognese
Ravioli Del Giorno
Pesce Del Giorno
Paccheri Con Melanzane E Ricotta Salata
Fettuccine Con Funghi E Spinaci
Tagliata Di Manzo Alla Griglia
Chocolate Cake
Gelato
Panna Cotta
Ricotta Cheesecake
Insalata Cesare
Antipasto Misto
Polentina con Speck
Mozzarella di Casa
Cozze alla Triestina
Lidia
s Gamberi
Fried Mozzarella 
in Carrozza
Calamari Fritti
Bresaola
Tonnato di Vitello
Arancini
Carpaccio
Spaghetti al Pomodoro con Grana Padano
Lasagna alla Bolognese
Paillard
Pollo al Limone
Galletto 
al Forno
Polla alla Parmigiana
Costolette di Maiale alla Maniera dello Chef
Fegato
Trancio di Salmone
Pesce Spada
Zuppa di Pesce Misto
Pesce Intero del Giorno
Peperoni Ripieni
Tagliata di Manzo con Grana Padano
Bistecca di Manzo
Osso Buco alla Becco
Salsicce
Funghi Trifolati
Scaffata
Roasted Root Vegetables
Broccoli
The 39th Street
Bottled Water
Brunch Smoked Salmon Tots
Brunch Shrimp and Grits
The Wilson Burger Ribeye Sliders
Korean BBQ Chicken Wings
Hummus
Buffalo Chicken Dip
Eggplant Fries
Brunch Nutella French Toast
Brunch Acai Granola Bowl
Brunch Fried Chicken and Waffles
Brunch Hangover Hash
Brunch Hanger Steak and Eggs
Brunch H.E.C. Sandwich
Caesar Salad
Tomato Bisque
Tavern Salad
Spinach Salad
Soup and Sandwich
Cast Iron Brick Chicken
Steak Frites
Adult Spaghetti O
s
Blue Crab Cake
Tavern Burger
Quinoa Veggie Burger
Special Burger
Margherita Flatbread
Shishito Peppers
Spinach and Artichoke Dip
Beef Meatballs
Cheesecake
Sea Salt 
 Vinegar Tots with Miso Ranch
Brunch Doughnuts
Brunch Smoked Salmon Flatbread
Brunch Grilled Shrimp Tartine
Acai Bowl
Greek Yogurt
Malted Waffle
Caramelized Apple French Toast
Salmon Platter
Wild Mushroom Omelet
Roasted Vegetable Omelet
Meat Lovers Omelet
Crabcake Eggs Benedict
Greek Salad
Fried Chicken Sandwich Lunch
Soup and Sammy Lunch
Chorizo, Kale and Potato Quiche Lunch
Brunch Crushed Yukons
Brunch Applewood Smoked Bacon
Warm Olives Plate
Fried Chicken Sliders Plate
Octopus Carpaccio
Ramen-Spiced Shishitos Plate
Hummus Plate
Fresh Mozzarella
Seared Tuna
Tomato-Bacon Bisque
Beet Salad
Arugula Salad
Cheese
Charcuterie
Fennel Squash Flatbread
Roasted Mushroom Flatbread
Pickle Brined Chicken Breast
Pork Shank
Sea Scallops
Burger
Frico Grilled Cheese Sandwich
French Dip Sandwich
Rigatoni
Hand Cut Fries
Wild and Cultivated Mushrooms
Broccolini
Eggplant French Fries and Curry Aioli
Hikari
Surrey
Chilango
Chicken Strips
Short Rib Sliders
Mini Chicken Tacos
Macaroni 
 Cheese Sampler
Chicken Caesar Salad
Turkey Cobb Salad
Asian Vegetarian Noodles
Fish 
Brownie Ice Cream Sundae
Sorbet
s specializes in gluten-free dining. Everything on our menu is gluten-free or can be made gluten-free.
Fresh Squeezed Grapefruit Juice
Iced Coffee
Mocha
Fried Chicken and Cheddar Waffle
Housemade Granola
Fruit Bowl
Egg White Omelette Breakfast
Pastrami Hash Breakfast
Nova Benny Breakfast
B.E.L.T Breakfast
Avocado Toast Breakfast
Thick Cut Bacon
Farm Eggs
Potato Pancakes
Eggs With Style
Wild Mushroom Toast Brunch
 Eggs Brunch
Egg White Omelette Brunch
B.E.L.T. Brunch
Chicken Bacon Swisswich Brunch
Salmon Salad
The Brunch Cobb Salad
Thick-Cut Bacon
Herb French Fries
Market Fruit
Chicken Matzoh Ball Soup Lunch
Grilled Chicken Salad
Grilled Asian Chicken Salad 2.0
s Burger Lunch
Salmon Burger
Quinoa Bowl
Salmon Brown Rice Bowl
Braised Short Ribs
Grilled Steak Tacos
Two-Bean Turkey Chili
Chicken Matzo Ball Dinner
Grilled Chicken Swisswich
Spinach Artichoke Dip Dinner
Korean Chicken Wings Dinner
Avocado Mash Dinner
Grilled Salmon Salad
Asian Chop Salad
Chopped Chicken Shawarma Salad Dinner
Roasted Brussels Sprouts
 Cheese
n
Sweet Iced Tea
Arugula Mexican Salad
Yuca Chips 
Chipotle BBQ Wings
Popcorn Chicken
The Masterpiece Burger
Mushroom Truffle Burger
Iberico Burger
BIB Chicken Burger
Turkey Delight Sandwich
Coleslaw Mayo Suace
Jalapeno Mayo Sauce
Horseradish Mayo
Truffle Mayo
Black Iron Ai-oli Sauce
BBQ Sauce
Ranch Sauce
Chimichurri Fries
Herb Garlic Fries
Ai-Oli Fries
Truffle Cheese Fries
Loaded Fries
Onion Rings
Coleslaw
Brownie
Nutella Ice Cream Sandwich
Classic
Truffle Melt
Grilled Chicken
Buffalo
Maple Bacon
Chicken Club
Wisco
Fried Chicken
Burger Melt
3 Cheese
The Big Skinny
Shop Salad
Shop Tots
Loaded Tots
Red Cabbage Slaw
Dill Pickle
Homemade Dipping Sauce
Cheesy Tots
Side Salad
Strawberry Lemonade
Abita Brewing Company Draught Root Beer
Fountain Soda
Frappe Coffee
Milk
Chocolate Milk
Milk Shake
Ice Cream Soda
Freshly Squeezed Orange Juice
Pineapple Juice
2 Eggs Any Style Breakfast
2 Eggs with Bacon Breakfast
2 Eggs with Sausage Breakfast
2 Eggs with Turkey Bacon Breakfast
Corned Beef Hash and Eggs Breakfast
Steak and Eggs Breakfast
Florentine Omelet Breakfast
California Omelet Breakfast
Trio Omelet Breakfast
Athenian Omelet Breakfast
Create Your Own 3 Egg Omelet Breakfast
Egg Sandwich with Cheese Breakfast
Classic Eggs Benedict Breakfast
Smoked Salmon Benedict Breakfast
Bagel All the Way Breakfast
Loaded Times Square Breakfast
