Mango Lassi
Grilled Halloumi Cheese
Rkakat
Batata Harra
Sambousik
Kebbeh Kras
Makanek
Soujouk
Sfiha
Fatayir with Spinach and Feta
Vegetarian Mazmeez
Mezze Supreme
Flavored Falafel
Shrimp
Balade Falafel
Shish Tawook Sandwich
Shish Kebab Sandwich
Halloume Cheese Sandwich
Falafel Sandwich
Hummus and Taboule Sandwich
Balade Mixed Grill Platter
Balade Lamb Chops Platter
House of Lamb Kabab Platter
Beef Shawarma Platter
Shish Tawook Platter
Sheikh El Shawarma Platter
Samke Harra Platter
Moudardara Platter
Hummus Falafel Platter
Beirut Beats Zaatar Manakeesh
Wild Zaatar Manakeesh
Banadoura Harra Manakeesh
Jebne Manakeesh
Sausage and Cheese Manakeesh
Lahme Baajin Manakeesh
Kafta Manakeesh
Taste of Lebanon Manakeesh
Sultan El Shawarma
Tarboush Chicken
Greek Pitza
Malak El Falafel
Hummus Pitza
Lebanese Salata
Pickled Vegetables
Balade Fries
Batata Mekleyee
Bread Basket
Tahini Sauce
Garlic Sauce
Balade Homemade Hot Sauce
Baklava
Kenafa
Mouhallabie
Chocoba
Lebanese Ice Cream
Ashta
Freshly Squeezed Orange Juice
Balade Jallab
Rose Water
Laban Ayran
Lebanese Coffee
Lebanese Tea
Mujaddara Crush Tray
1/3 lb. The Classic Burger
1/3 lb. Spiced Chicken Burger
Buttermilk Chicken Sandwich
Steak and Cheese Sandwich
Grilled Cheese
Veggie Burger
Classic Fries
Truffle Fries
Chicken Tenders
Maine Root Fair Trade Mexicane Cola
Smoked Salmon Sandwich
Chicken Salad Sandwich
Curried Herring Sandwich
Pickled Herring Sandwich
Roast Beef Sandwich
Hangover Sandwich
Kale Bowl
Cabbage Salad
Tea
Soft Boiled Egg
Goat Cheese
Smoked Salmon
Jarritos
Can of Diet Coke
Queso Quesadilla
Pollo Quesadilla
Al Pastor Quesadilla
Carnitas Quesadilla
Rajas Quesadilla
Carne Asada Quesadilla
Queso Nachos
Pollo Nachos
Al Pastor Nachos
Carnitas Nachos
Rajas Nachos
Carne Asada Nachos
Pollo Taco
Al Pastor Taco
Carnitas Taco
Rajas Taco
Carne Asada Taco
Pollo Burrito
Al Pastor Burrito
Carnitas Burrito
Carne Asada Burrito
Rajas Burrito
Rice 
 Beans Burrito
Rice and Beans Plate
Salad
Chips
Guacamole
Rice
Beans
Tortillas
California Burrito
Carne Asada Fries
Elote
Grilled Shrimp Taco
Baja Original
Grilled Shrimp
Make a Plate
Grilled Zucchini 
 Red Peppers
Grilled Chicken Quesadillas
Steak
Grilled Portabella Mushrooms
Grilled Shrimp Quesadilla
Vegetarian Black Bean
Chips 
 Guacamole 
 Salsa
Mushroom and Asiago Cheese Omelet
Ham and Swiss Cheese Omelet
Scrambled Eggs Sandwich with Tomato
Eggs Florentine
Poached Eggs with Gravlox Salmon
Granola with Yogurt and Fresh Fruit
Eggs on Toast
Traditional Oatmeal
Spinach and Goat Cheese Omele
Open-Face Western Omelet
Eggs Benedict
Pancakes
French Toast
Bagel with Salmon
Whole Grain Toast with Peanut Butter and Bananas
Prosciutto and Melon Cantaloupe Bruschetta
Tomatoes and Garlic Bruschetta
Pressed Vegetable Panini
Prosciutto, Mozzarella and Arugula Panini
Italian Tuna Panini
Grilled Chicken Panini
Bresaola and Arugula Panini
Penne
Ricotta Ravioli
Gnocchi with Bacon and Green Peas
Fusilli
Pappardelle
Fresh Cavatelli
Spaghetti
Bucatini Matriciana
Fiat Rigatoni
Linguini Fini with Baby Clams and Bacon
Bucatini Cacio E Pepe
Prosciutto di Parma and Mozzarella
Prosciutto Soppressata and Parmigiano Cheese
Cheese Plate
CAPRESE
Creamy Chicken Tagliatelle in Pink Sauce
Spaghetti Carbonara
Spaghetti with Meatballs
Rigatoni Bolognese
Traditional Lasagna with Beef and Bechamel
Chicken Milanese
Sauteed Chicken
Fish Stew
Pounded Chicken Breast
Poached Salmon
Tricolore Salad
Mesclun Salad
Quinoa Salad
Salmon Carpaccio
Bresaola with Arugula Salad
Insalata di Mare
Carpaccio di Manzo
Organic Kale Caesar Salad
Caprese Salad
English Muffin
Mashed Potatoes
Broccoli Rabe
Avocado
Fresh Orange Juice
Espresso
Cappuccino
Americano
Latte
Coffee
Iced Coffee
Hot Chocolate
Mocha
Water
Tiramisu
Fresh Fruit
Bread Pudding
Coffee Panacotta
Chocolate Mousse
Local Apple Pie
NY Sour Cherry Pie
Wild Maine Blueberry
Salty Chocolate Chess
Black Bottom Almond Chess
Lemon Poppyseed Chess
Coconut Custard
Brown Butter Pecan
Meyer Lemon Sunshine Pie
Farm Fresh Pumpkin Pie
Sesame Chess
Strawberry Rhubarb
Chicken Pot Pie
Maple Whip Cream
Vanilla Ice Cream
Coconut Cream
Sour Cherry
Lavish Chocolate Cream
Banana Cream
Key Lime Meringue
Lemon Meringue
Pint of Maple Whip Cream Tray
Hudson Valley Apple
Brown Butter Honey Pecan
Dozen Oatmeal Chocolate Chip Cookies
Vegan Pies
Fruit Crumb Pies
Vegan and Gluten Free Pies
Gluten-Free Pies
Pint of Vanilla Ice Cream Tray
Masala Chai
Madras Coffee
Lassi
Bombay Bhelpuri
Pav Bhaji
Idli
Medu Vada
Batata Vada
Samosa
Gobi Manchurian
Assorted Appetizer Platter
Vada Pav
Aloo Papdi Chaat
Rasam
Mulligatawny Soup
Tomato Soup
Katchumber
Sambar
Dosa
Paper Dosa
Paper Masala Dosa
Gunpowder Masala Dosa
Paneer Bhurji Dosa
Pondicherry Masala Dosa
Onion Rava Masala
Chili Rava Masala Dosa
Rava Masala Dosa
Tomato, Onion and Chili Uttappam
Mixed Vegetable Uttappam
Alu Matar
Mushroom Matar
Alu Gobi
Alu Baigan
Baigan Bartha
Chana Saag
Bhindi Masala
Navratan Korma
Kadai Paneer Masala
Matar Paneer
Yellow Dal
Pulav
Vegetable Biryani
Lemon Rice
Tamarind Rice
Bisi Bele Bath
Chapati
Paratha
Raita
Gulab Jamun
Rasmalai
Kulfi
Kheer
Ice Cream
Egg Roll
Chicken Phall Roll
Chatpata Chicken Roll
Chicken Malai Roll
Thelewala Chicken Roll
Chapli Roll
Achari Aloo Tikki Roll
Smoky Gobi Roll
Aloo Paneer Roll
Lime Paneer Roll
Chatpata Paneer Roll
Okra Roll
Chili Anda with Paratha
Ghugni with Paratha
Tawa Chicken with Paratha
Peanut Masala
Puchka
Bhel Puri
Jaal Muri
Bottled Water
Paneer Tikka
Chicken Malai
Patiala Lamb Kabab
Lollypop Chicken
Chili Chicken (Dry)
Onion Bhaja
Ragara Patties
Imli Baigan
Kurkuri Bindi
Luchi Bhaji
Gobi Karare
Jhinga Luchi
Chicken Tikka
Seekh Kabab
Tandoori Shrimp
Konju Pappas
Aunt Murlis Chingri Malai Curry
Lata Shetty
s Shrimp Ajadina
Fish Moilee
Murgh Saag
Chicken Rizzala
Murgh Makhni Malai Marke
Chicken Chutneywala
Chicken Xacuti
Murgh Korma
Coondapur Kori
Lamb Pepper Fry
Lamb Bhuna Mirchwala
Rogan Josh
Lamb Dhansak
Lamb Pasanda
Lamb Madras
Dal Makhni Malai Marke
Aloo Saag
Baigan Bharta
Saag Paneer
Mutter Paneer
Malai Marke Paneer
Chowrangi Aloo Dum
Saag Tarkari
Bhindi Sasuralwali
Pumpkin Sabji
Daal Saag
Phall
Lal Maas
Vindaloo
Chettinad
Marudai Melagu Curry
Balti
Jalfrezi
Kadai
Vegetable Manchurian
Paneer Biryani
Shrimp Biryani
Onion Naan
Chili Onion Naan
Paneer Cheese Naan
Tandoor Roti
Lunchi (Poori)
Lacha Paratha
Coconut Rice
Peas Pulav
Plain Rice
Chicken Chettinad Lunch Special
Malai Marke Paneer Lunch Special
Fish Moilee Lunch Special
Vegetable Pakoras
Jhinga Balchoo
Bhel Poori
Chicken Sheesh Kabab
Kalmi Kabab
Gobhi Manchurian
Murgh Makhanwalla
Chicken Jalfrezi
Hyderabadi Chicken Curry
Kerala Pepper Chicken
Kashmiri Chicken Korma
Kadai Chicken
Rajasthani Hara Maas
Achar Gosht
Lamb Curry
Goat Curry
Baghari Jhinga
Shrimp Saag
Tandoori Mixed Grill
Tandoori Jhinga
Mughlai Salmon Tikka
Hyderabadi Baghare Baingan
Vegetable Tikka Masala
Aloo Gobi
Gobi Palak
Saag Aloo
Baingan Bharta
Jeera Aloo
Shahi Mutter Paneer
Chili Paneer
Dum Pukht Gosht Biryani
Sofiyani Biryani
Keema Naan
Cheese Naan
Mughlai Delivery Special
Papadum
Mint Chutney
Gajrela
Mughlai Special Kheer
Soba Soul Salad
Bun Cha Greens Salad
Sesame Zucchini Noodles Salad
Korean Temple Bowl Salad
Create Your Own Salad
Kimchi Bap Wok
Tangy Tangy Wok
Singapore Noodles Wok
Sweet Chow Fun Wok
Thai Basil Chop Wok
Royal Japchae Wok
Kimchi
White Kimchi
Zucchini
Umma
s Chicken Bone Broth
Vegan Korean Ramen
Chopstick
Spoon
Avocado Juice
Durian Juice
Bali Kitchen Soda
Lychee Tea
Mie Goreng
Soun Goreng
Soto Ambengan
Lodeh Soup
Lalap Pengantin
Lawar Tahu
Gado Gado
Perkedel
Sate Lilit
Siomay
Rendang
Betutu
Dabu Dabu
Sate Makassar
Nasi Goreng
Nasi Goreng Kampung
Nasi Kuning
Nasi Campur Bali
Jasmine Rice
Garlic Chips
Sambal
Jackfruit Custard
Lapis Legit Cake
Nachos
Sikil Pak
Hjiki-Hearts of Palm Ceviche
Beet and Pumpkin Empanada
Guacamole and Chips
Palm Carnitas Taco
Chipotle Sweet Potato Taco
Mezcal Mushroom Taco
Buffalo Flower Taco
Crispy Chayote Fish Taco
Our Chorizo Taco
Black Lava Rice
Rainbow Chard
Turmeric Cauliflower Rice
Dinosaur Kale
Pupusas
Chimichurri Eggplant Torta
Enchiladas Mole
Azteca Chile Relleno
Chorizo Burrito
Guacamole Burger
Coconut Queso Quesadilla
Verde Enchiladas
Mexican Street Corn
Salsa Trio
Fermented Beans
Spanish Rice
Coconut Dream Cake
Churritos
Caramel Flan
Raspberry Cheesecake
Chocolate Chip Cookies
Mexican Wedding Cake Cookies
Mexican Coke
Sparkling Agave Lemonade
Hibiscus Iced Tea
Almond Horchata
Kale Caesar
Quinoa Taco
Spicy Thai
Detox Kale
The Guac Burger
Pesto Meatball
Smashed Avocado Toast
Mac N
 Cheese
Avocado Pesto Pasta
Air Baked Fries
Oh So Fancy Fries
Kale Artichoke Dip
Green Hummus
Matcha Kelp Noodles
Raw Vanilla Bean Chia Pudding
Daily Soup
Junkie
Banana Walnut Bread
Lemon Poppy Seed Muffin
Chocolate Chip Cookie
Cinnamon Espresso Cookie
Chlostess Cupcake
Raspberry Tiramisu Cupcake
Matcha Coconut w/ Matcha Chocolate Babka
Birthday Cake Push Pop w/ Funfetti Cake Rainbow Frosting
Beet Ketchup
Seasonal Lemonade
Drip Coffee
Tandoori Mushroom
Tandoori Vegetables
Chicken Achari
Chicken Seekh Kebab
Fish Tikka
Lamb Chops
Chicken Malai Kebab
Paneer Bhurji Paav
Paav Bhaji
Murgi Paav
New Egg Tikka Masala Box
Paneer Tikka Masala Box
Vegetable Korma Curry Box
Chicken Boxes
Chicken Tikka Masala Box
Chicken Bhuna Curry Box
Unda Bhurji Roll
Batata Vada Roll
Spicy Paneer Bhurji Roll
Tandoori Mushroom Roll
Paneer Tikka Roll
Chana Masala Roll
Murg Masala Roll
Lamb Masala Roll
Chicken Kebab Roll
Vegetable Roll
Cilantro Chutney
Onion Salad
Basmati Rice
Paan
Tamarind Chutney
Papad
Ras Malai
Limca
Frooti
Raw Mango Panna
Masala Chai Tea
Iced Masala Chai
Chicken Curry
Lamb Kabob
Veggies of the Day
Naan Tacos
Roti Tacos
Chips and Chutney
Rice and Lentils
Onion Pakoras
NAAN
GARLIC NAAN
ONION NAAN
Veggie of the day bowl
Chicken tikka masala bowl
Chicken curry bowl
Lamb curry bowl
Saag Paneer Basmati Bowl
Chicken Malai Kabob Bowl
PANEER TIKKA MASALA (VEGETARIAN)
CHICKEN CURRY
CHICKEN MALAI KABOB
CHICKEN TIKKA MASALA*
LAMB CURRY*
Guac
Add Garlic to my Naan
Lamb Over Rice
Chicken Over Rice
Falafel Over Rice
Combo Platter
Lamb Gyro
Chicken Gyro
Thai Iced Tea
Viet Ice Coffee
Calamansi Honey Jasmine Tea
Fresh Coconut Juice
Passion Fruit Tea
Mango Bubble Tea
Mango
Passion Fruit
Thai Shumai Dumpling
Uncle Plump
s Dumpling
Vietnamese Pork Spring Rolls
Vietnamese Vegetable Spring Rolls
Vietnamese Vegetable Summer Roll
Vietnamese Shrimp Summer Roll
BBQ Char Siu Bun
Steamed Chinese Broccoli with Oyster Sauce
Malaysian Chicken Satay Shish Kebab
Thai Fried Chicken Wings
Five Spice Crispy Calamari
Kaffir Lime Lemongrass Mussels
Steamed Pork Buns
Crabmeat Rangoon
Roti Canai Planta
Hot and Sour Soup
Wonton Soup
Coconut Curry Chicken Soup
Wonton Noodle Soup
House Special Noodle Soup
Beef Eye Round Noodle
Chicken Noodle Soup
Thai Style Papaya Salad
Vegetable Salad Vietnamese Style
Mango Salad
Char Kney Teow
Lo Mein
Fried Rice
Curry Pineapple Fried Rice
Thai Fried Rice
Hot and Spicy Chicken with String Bean Rice Bowl
Curry Chicken Rice Bowl
Grilled Chicken Rice Bowl
Farmer
s Market Delight Tofu
Cashew Smoked Chili
Mixed Seafood Curry Laksa
Thai Red Curry
Vegetarian Curry Clay Pot
Drunken Noodle
Mee Goreng
Rendang Nasi Lemak
Grilled Chicken Vermicelli Noodle
Grilled Pork Vermicelli Noodles
Flank Steak
Peanut Dumpling
Shrimp Dumpling
Chives Pork Dumpling
Vegetable Dumpling
Pork and Shrimp Dumpling
Sticky Rice
Mango Sticky Rice Coconut Cream
Longonissa Sausage
Sizzling Corned Beef Hash
Steak and Eggs
Bahn Xeo
Champorado
Green Papaya Salad
Grilled Pork Jowl
Sizzling Sisig
Khao Soi
Brioche French Toast
Powdered Sugar Donuts
Garlic Fried Rice
Bacon
Fiji Green
Vietnamese Style Coffee
Horchata Iced Coffee
Orange
Lychee
White Peach
Bottomless Mimosas
Lower East Side
Stinky Peat
Bangkok Fire
Rum 
 Hyde
Young Coconut Water
Self Serve Bottomless Draft Yuengling
Prosecco
Pinot Noir
Barbera
Thai Iced Coffee
Lychee Thai Tea
Thai Tea Lemonade
Jasmine Iced Tea
Roselle Juice
Longan Juice
Por Pia Tod
Pak Mor Puk
Curry Puffs
Kha Nom Jeeb
Sa Koo Sai Moo
Pla Muk Tod
Tod Mun Pla
Curry Bun
Spicy Chicken Wings
Grilled Prawn Mango Salad
Soft Shell Crab Mango Salad
Moo Yang Mung Kood
Tom Yum Koong
Tom Kha Gai
Tom Juad
Thai Salad
Larb Gai
Pad Krapraw
Praram
Ginger
Garlic
Cashew Nut
Eggplant Basil
Krapraw Gai Sub
Red Curry
Jungle Curry
Pad Se-Ew
Kea Mao
Basil Fried Rice
Tom Yum Fried Rice
Crab Fried Rice
Gai Nam Dang
Frog Legs Krapraw
Kang Ped Pet Yang
Hor Mok Talay
Chilean Sea Bass in Aromatic Coconut Milk
Gai Yang
Soft Shell Crab Nam Prig Pao
Goong Ma Kham
Pla Tod Nam Pla
Royal Pad Thai
Kaeng Runjuan
Kaeng Neur Lamyai Bai Chapoo
Larb Ped
Berry-Brown Rice
Coconut Sticky Rice
Steamed Assorted Vegetables
Crispy Assorted Chips
Fried Egg
Peanut Sauce
Sauteed Baby Bok Choy
Eggplant Basil Lunch Special
Krapraw Gai Sub Lunch
Red Curry Lunch Special
Panang Curry Lunch Special
Tom Yum Fried Rice Lunch Special
Pad Thai Lunch Special
Kea Mao Lunch Special
Banana Crepe with Coconut Ice Cream
Trio Sorbet
Thai Medley Compote
Mee Ga-Thee
Kao Tang Na Tung
Gai Hor Bang Touy
Mieng Kum
Ray Rai Nah Phu
Mar Hor
Mee Grob
Pun Sip Salmon
Yum Ma-Kua Yao
Yum Pla Duke Foo
Shrang-Wa-Goong
Yum Hua-Phee
Kha Nom Jeen Nam Prig
Kha Nom Boung Youen
Kaeng Hung Ley
Kaeng Run Juan
Pha Neur
Ped Ron
Kaeng Chapoo Phu
Betel
Lamb Laab
Whole Roasted Dorade
Muay Thai Rotisserie Chicken
Lemongrass Juice
Rosella Juice
Iced Thai Tea with Milk
Tom Saab Kradook On
Gaeng Om Kai
Super Peek Kai
Tom Klong Pla Dook Yang
Tum Thai Kai Kem
Tum Thai
Tum Suo Der
Tum Poo-Plara
Tum Pla Too and Kao Mun
Tum Kor Moo Yang
Tum Muo
Tum Mangsavirat
Goong Chae Nam Pla
Koi Goong
Larb Pla Dook Yang
Larb Moo
Larb Hed Kao Kuo
Soup Nor Mai
Nam Tok Moo
Nam Tok Nue
Yum Tra Krai Sardine
Yum Crispy Leaf Fish
Yum Goong Yang
Khao Pad Goong
Khao Pad Pu
Khao Pad Kraprao Moo
Khao Pad Kraprao Nue
Khao Klook Ka Pi
Khao Moo Tod Kratiam Prik Thai
Pad Thai Mun Poo
Pad Ki Mao Moo
Pad Ki Mao Nue
Chef
s Signature Wok-Fried Seafood Suki
Kuay Tieo Pad See Eiw Talay
Khao Pad Nam Prik Pao Pla Sa Lid
Sa Poak Kai Tod Der
Sai Krok Isan
Moo Yor Tod Khon Kaen
Por Pia Larb Moo
Moo Dad Dieo
Nue Dad Dieo
Larb Tod
Nam Sod
Moo Ping Kati Sod
Beef Ping Kati Sod
Nue Rong Hai Der and Khao Ji
Moo Rong Hai Der and Khao Ji
Grilled Sticky Rice Der
s Style
Isan Fried Rice Noodles
Steamed Sticky Rice
Rice Vermicelli
Steamed Rice
Snow Ice with Syrup
Black Jelly with Fresh Milk
Taro in Condensed Coconut Milk
Thai Tea Panna Cotta
Combo C
Combo I
L1 Thai Green Curry Rice Bowl
L7 Lemongrass Curry Seafood Stone Rice Bowl
L10 Classic Nasi Lemak
L12 Hainanese Chicken Rice Bowl
L15 Sambal Chili Seafood Rice Bowl
A1 Original Roti
A2 Roti Scallion Pancake
A3 Roti with Rendang Chicken
A5 Roti Murtabak
A6 Roti Cheese
A7 Grilled Chicken Satay
A8 Vietnamese Summer Rolls
A9 Vietnamese Spring Rolls
A10 Thai Veggie Spring Rolls
A11 Thai Fish Cakes
A13 Oyster 
 Chives Omelette
A14 Popcorn Chicken
A16 Wok Fried Chicken Wings
A18 Bacon Crab Cheese Rangoon
A19 Golden Calamari
A20 Golden Soft Shell Crab
A22 Fried Mantou
S1 Yong Tau Foo Soup
S2 Tom Yum Soup
S3 Lemongrass Coconut Curry Soup
Y1 Thai Lemongrass Chicken Lettuce Wrap
Y3 Green Papaya Salad
Y4 Neur Nam Tok Salad
C3 Wok Homemade Tofu
C4 Seafood Tofu Claypot Stew
C7 Wok Curry Beef Stew Claypot
C8 Indonesian Rendang
C12 Samrod Three-Flavors Red Snapper
C22 Wok Tropical Mango
C23 Golden Yam Ring 
Bird
s Nest
C24 Malaysian BBQ Pork Chop
C25 Hainanese Chicken 1/2
C26 Malaysian Curry Chicken with Potato
C28 Spicy Belacan Shrimp 
 Vegetable
N1 Penang White Curry Laksa
N2 Wok Curry Beef Stew Laksa
N3 Penang Assam Laksa
N4 Penang Har Mee
N5 Seafood Tom Yum Noodle Soup
N6 Hakka Mushroom Pan Mee
N9 Ipoh Pearl Noodle Soup
N10 Charsiew Wonton Noodle Soup
N12 Claypot Egg Noodle
W1 Wok Bee Hoon Mee
W2 Penang Char Kway Teow
W3 Pad Kee Mao
W4 Pad See Ew
W5 Pad Thai
W6 Mee Siam
W7 Singaporean Mee Hoon
W8 Indo Mee Goreng
W9 Street Style Lo Mein
W10 Stir-fry Pearl Noodle
W11 KL Hokkian Char Mee
W12 Sizzling Pan Fried Crispy Noodle
W13 Cantonese Chow Fun
R1 Black Pepper Stone Rice bowl
R2 Wok Basil Stone Rice Bowl
R3 Thai Lemongrass Stone Rice Bowl
R4 Spicy Sambal Stone Rice Bowl
R5 Scallop Meat Gravy Stone Rice Bowl
R7 Soy Sauce Chicken Stone Rice Bowl
R8 Lemongrass Coconut Curry Stone Rice Bowl
R9 Wok Fried Rice
R11 Thai Pineapple Fried Rice
R14 Traditional Nasi Lemak
R15 Hainanese Chicken Over Rice
D1 Creamy Thai Iced Tea
D6 Iced Lychee Grass Jelly
D7 Iced Rose Bandung Grass Jelly Soy Milk
D8 Iced Pandan Gula Jawa Soy Milk
D9 Iced Grass Jelly Soy Milk
D16 Thai Mango Sticky Rice
D4 Iced Milo Vanilla Float
J2 Chicken Flavored Rice
J3 Coconut Flavored Rice
Chicken Sandwich
Cauliflower Sandwich
Ba
al Sandwich
Fried Eggplant and Zucchini Sandwich
Hummus Sandwich
Beet Sandwich
Combo Platter with 4 Sides
Combo Platter with 3 Sides
Hummus Platter
Salad and Side Platter
Fries
Fattoush
Tzatziki
Couscous
Roasted Cauliflower
Fried Eggplant and Zucchini
Babaghanoush
Beets and Apple
Red Cabbage
Shepherd
Grape Leaves
Chicken
Kofta Kabab
Side of Stuffed Grape Leaves
Pita Bread
Shepherd Salad
Couscous Salad
al Salad
Mushroom Flatbread
Baal Soup
Lentil Soup
Leek Fennel Soup
Spinach Soup
Banana, Date and Cardamom Smoothie
Homemade Mint Lemonade
Homemade Iced Tea
Mint Lemonade
Iced Tea
Omg Omega
Spicy Sabzi
Guacamole Greens
Hummus Tahina
Rad Thai
Earth Bowl
Harvest Bowl
Bases
Toppings
Dressings
Watermelon Cilantro Fresca
Cucumber Ginger Lime Fresca
Chamomile Mint Iced Tea
Lemon Fresca
Egg and Potato on a hero
Smoked Turkey, Fresh Mozzarella, Roasted Red Peppers on a Hero
Eggplant Parm, on a Hero
Turkey, Swiss, Lettuce, Tomato, Mayo, on a Hero
Mozzarella, Roasted red pepper, Tomato, Lettuce and Balsamic Vinegar on a Hero
Salami, Muenster, Lettuce, Tomato, Pickles, Mayo, Mustard, on potato bread
Mortadella, Mozzarella, and Roasted Bell Peppers in oil on a Hoagie
Chocolate Caramel Cookie Crunch
Vegan Planet Earth
Vegan Toasted Coconut Brownie Sundae
Honeycomb
Salted Caramel
Sicilian Pistachio
Chocolate
Vanilla Bean
Strawberry
Mint Chip
Candied Ginger
Chocolate Banana Cream Pie
Cookies 
 Cream
Lemon Meringue Yogurt Tart
Earl Grey Tea
Passion Fruit Layer Cake
Peanut Butter Marshmallow Crunch
Vegan Chocolate
Vegan Coffee
Vegan Honeycomb
Vegan Salted Caramel
Vegan Caramelized Banana Nut
Vegan Choc Chip Cookie Dough
Vegan Matcha Tea
Vegan Mint Chip
Vegan Peanut Butter Choc Chip
Classic
Continental
Banana Split
New Yorker
Vegan Chocolate Chip Cookie
Vegan Askinosie Single Farm Chocolate Brownie
Vegan Banana Walnut Choc Chip Muffin
Bacon Egg Sandwich
Sausage Egg Sandwich
Patty Melt
Kale Salad
Pot Roast
Cauliflower Tahini Salad
French Sourdough
Baguette
Jerusalem Baguette
Cereal Bread
Olive Bread
Ciabatta
Challah
Festive Challah
100% Rye Bread
Northern Sea Rye Bread
Walnut Rye
Caraway Rye Bread
Walnut Raisin Rye
Swiss Muesli Bite
Croissant
Pain Au Chocolat
Almond Croissant
Cinnamon Roll
Rugelach
Poppy Seed Danish
Cheese Straw
Olive 
 Cheese Breadstick
Feta Bureka
Spinach Bureka
Potato Bureka
Mediterranean Quiche
Mushroom Quiche
Brownie
Chocolate Cookie
Chocolate Babka
Flourless Brownie Cake
Fruit Tart
Chocolate Mousse Cake
Butter Pecan Cookies
Parmesan Cookies
Palmiers
Brie 
 Olive Sandwich
Cheese 
 Veggies Sandwich
Egg Salad Sandwich
Tuna Salad Sandwich
Tunisian Sandwich
Vegan Sandwich
Grey Dog
s Breakfast
Eggs Any Style
Egg and Cheese Croissant
Breakfast Tacos
Village Pancakes
Challah French Toast
Avocado Toast
Homemade Granola
Salmon Toast
Steak 
 Egg Sandwich
Grey Dog Club
Grilled Chicken Press
Goat Cheese and Avocado Sandwich
Guacamole and Bacon Grilled Cheese
#7 Sour Apple and Warm Brie
Tuna Melt
Philly Cheese Steak
Classic Burger
Crispy Baja Fish Tacos
Seared Tuna Tacos
Brown Rice and Beans
Zucchini Spaghetti
Local Salad
Spicy Kale Caesar Salad
Roasted Beet Cobb
Seared Tuna Salad
Chicken Soup With Meatballs
French Fries
Sweet Potato Fries
Side Chicken
A Cute Salad
Sausage
Chicken Apple Sausage
Home Fries
Hazelnut Coffee
Cafe au Lait
Mochaccino
Mexican Hot Chocolate
Hot Cider
Hot Tea
Lemonade
Raspberry Lemonade
Arnold Palmer
Apple Juice
Iced Chai
Cold Brew
Iced Hazelnut
Iced Cappuccino
Iced Mochaccino
