Thai Spring Rolls (4)
Spicy Sukhee Haeng
Spicy Tom Yum Basil Noodle Soup
5 Spice Beef Noodle Soup
Chicken Chiang Mai Noodle
Bangkok Fried Rice
Thai Spicy Basil Fried Rice
Pineapple Fried Rice
Spicy Holy Basil
Roasted Cashew Nuts
Ginger Dish
Qi Pad Thai
Rib Eye Steak w/ Massaman Ginger Cream Sauce
Fiery Pork Red Turmeric Curry
Panang Curry w/ Duck Breast
Steamed Thai Angel Hair Rice Noodle
Peanut Sauce Fried Rice
Lychee Juice
Pineapple Juice
Fried Whole Thai Mackerel
Thai Omelette
Green Leaf Basket
Organic Red Rice
2 Pick and Mix Lunch
Sauteed Asian Greens
Dry Green Curry Beef
Braised Short Rib
Ginger Chicken
Sour Curry Fish
Fresh Chili Shrimp
Crabmeat Tom Turmeric
Shrimp and Calamari Tom Yum Soup
5 Spice Pork Belly
Pad Prik Khing Pork
Pad Ped Beef
Turmeric Curry Chicken
Kaffir Chicken
Fried Whole Butterfish
Roasted Chili Calamari
Sauteed Shrimp
Tepo Curry
Thai Babmboo Shrimp
Sa-tay
Mee-groab
Tom Kha Gai
Som Tam (papaya Salad)
Yum Woon-sen
Nam Sod
Nyia Num Tok
Thai Pumpkin Coconut Custard
Crispy Banana
Traditional Thai
Coconut Ice Cream Delight
Fresh Mango Ice Cream
Po Pia Thod
Geoy Hor Cheese
Tao Hoo Tord
Kanom Jeeb
Moo Yang
Pla Muk Tord
Peek Gai Mak Khamin Tord
Po Pia Sod
See Khong Moo Aob
Tom Yum Gai
Geoy Nam
Som Tum Thai
Labb Gai
Yum Woon Sen
Moo Yaan Num Tok
Phad Med Ma Mong Him Ma Phan
Phad Priew Wan
Phad Ma Kue Yao
Guay Tiew Pad See Ew
Gauy Tiew Pad Kee Mau
Pad Woon Sen
Khao Soi
Gauy Tiew Ped Toon
Gauy Tiew Tom Yum
Gauy Tiew Nam Tok Moo
Gauy Tiew Nam Tok Nuea
Gauy Tiew Gai
Gauy Tiew Yen Ta Fo
Gaeng Kiew Warn
Gaeng Karee
Gaeng Panang
Khao Phad
Khao Phad Ka Prow
Khao Phad Prik Khing Gai
Khao Phad Nuea Poo
Nuea Yaan
Poo Nim Kra Tiem
Salmon Chu Chee
Fried Egg
Pad Thai Lunch Special
Gauy Tiew Nam Tok Nuea Lunch Special
Thai Ice Tea
Thai Ice Coffee
Thai Ice Green Tea
Winter Shrimp
Shrimp Cake
Steam Bangkok Dumpling
Triangle Bean Curds
Siam Rolls
Tom Yum
Cucumber Salad
White Rice
Corn Spring Rolls
Sesame Tofu
Thai Mixed Chicken and Shrimp Dumplings
Green Dumplings
Coconut Calamari Tempura
Curry Puff
Golden Triangle
Shrimp Parcels
Avocado Summer Roll
Honey Glazed Ribs
Assorted Golden Fritters
Room Service Tuna Tartar
Thai Dumpling Woon-Sen Soup
Green Papaya Avocado Salad
Crispy Duck Salad
Larb Salad
Thai Spicy Tuna Salad
Grilled Chicken Satay Salad
Pad See Eew
Roadside Noodles
Spicy Basil Kee Mao Noodles
Spicy Basil Fried Rice
Spicy Thai Basil Dish
Pad Chili Dish
Pad Roasted Cashew Nut Dish
Rama Dish
Tamarind Dish
Grilled Ginger Honey Pork Chop
Pad-Noh-Mai
Bangkok Chicken Pumpkin Curry
Grilled Tumeric Half Chicken
Room Service Pad Thai
Chu-Chee Salmon
Thai Scampi with Curry Powder
Mango Lemongrass Chicken
Spicy Squid Ink Spaghetti
Pomegranate Walnut Duck
Sake Tunataro
Andaman Basil
Steamed Shrimp in Clay Pot
Ginger Coconut Herbal Pepper Sirloin Steak
Basil Eggplant
Steamed Bok Choy
Pad Thai Noodle Lunch Special
Spicy Basil Noodle Lunch Special
Red Curry Lunch Special
Green Curry Lunch Special
Basil Sauce Dish Lunch Special
Rama Dish Lunch Special
Grilled Pork Chop Lunch Special
Pad-Woon-Sen Lunch Special
Lychee Fried Rice with Shrimp Lunch Special
Spaghetti Panang Curry with Chicken Lunch Special
Yellow Curry Fried Rice Lunch Special
Cheesecake Slice with Lychee Ginger Sauce
Warm Flourless Chocolate Cake a La Mode
Ice Cream
Coconut Juice
Orange Juice
Crispy Spring Roll
Chicken Dumpling
Shrimp Dumpling
Crispy Shrimp Roll
Sun-Dried Pork
Grilled Pork Neck
Chicken Puffs
Chicken and Shrimp Dumpling
Chive Pancakes
Emerald Dumpling
Skewer
Taro Puffs
Gang Om Soup
Tom Zabb Soup
Nam Tok Noodle Soup
Crab and Roasted Pork Noodle
Spicy Shrimp Salad
Duck Salad
Soop Noa Mai Salad
Pad Se Ew
Pad Kee Mao
Basil Fried Rice
Sweet and Sour
Spicy Basil
Cashew King
Ginger Joy
Garden Delight
Esanation Pork
Esanation Chicken
Crispy Pork Broccoli
Crispy Pork Spicy Basil
Soft Shell Crab Spicy Basil
Whole Cornish Hen
Steamed Coconut Sticky Rice
Crispy Pork Rind
Pad Se Ew Lunch Special
Pad Kee Mao Lunch Special
Massaman Curry Lunch Special
Kao Ka Moo
Kao Kana Moo Grob
Kao Moo Dang and Moo Grob
Somtum Thai Salad
Somtum Kapi Salad
Somtum Korat Salad
Somtum Mua Sua Salad
Spring Roll
Scallion Pancake
Chicken Wings
Bangkok Dumpling
Crab Curry Puff
Authentic Thai Dumpling
Shrimp Salad
Larb (Ground Chicken Salad)
Pad See-Ew
Kua Gai Noodle
Garlic Chicken Noodle Soup
Roast Pork Noodle Soup
Duck Noodle Soup
Yen Ta Fo Noodle Soup
Basil Sauce
Ginger Sauce
Sweet and Sour Sauce
Massamun Curry
Pla Rard Prik
Roast Duck Over Rice Chef
s Special
Sweet Chili Sauce
Thai Fried Rice Lunch
Ginger Sauce Lunch
Lemonade
Lychee Thai Iced Tea
Coffee
Green Tea
Jasmine Tea
Ginger Tea
Fried Honey Banana
Mango with Sweet Sticky Rice
Kang Kao Peuak
Gai Hor Bai Touy
Pun Sib Pla
Lon Poo
Yum Koong Kra Ton
SOFT SHELL CRAB WITH MANGO SALAD
Larb Ped
Pad Thai Bolan
Kao Hor Bai Bua
Gai Yang Tra Krai
Kaeng Rawang Neur Bai Cha Poo
Pad Pet Hoy Darb
Mieng Pla Pao
CHILEAN SEA BASS IN AROMATIC COCONUT MILK (GF)
Soft Salad Roll
Thai Crepe Dumplings
Golden Puffs
Pla Muk Tod
Tom Juad Puk
Tom Yum Koong
Som Tum Kao Pod
Larb Gai
Prawn Mango Salad
Pad Krapraw
Praram
Cashew Nut
Pad Se-ew
Kea Mao
Kao Soy
Kao Kha Moo
Krapraw Gai Sub
Coconut Sticky Rice
Kao Tom Mud
Mor Khang
Thai Medley Compote Ice Cream Served in Coconut Shell
THAI ICED TEA
JUICE
Spicy Pork Dip (1 Pc)
Caramelized Shiitake (2 Pc)
Seared Shrimp (2 Pc)
Bigeye Tuna Crudo
Fried Japanese Potato
Fried Blue Prawns
Baby Green Salad
Roasted Carrots
Spicy Beef Ramen
Garlic Chicken Ramen
Smoked Pork Ramen
Ginger Scallion Noodles
Mixed Spicy Noodles
Spicy Oxtail
Whole Dover Sole
Sambal Spiced Calamari
Crispy Vegetable Spring Rolls
Fresh Shrimp Rolls
Steamed Dumplings
Vegetable Dumplings
Pork Belly
Spare Rib on Sugar Cane Skewer
Kimchee Fries
Salt and Pepper Shrimp
Lunch Pad Thai Special
Lunch Thai Fried Rice Special
Lunch Pad Kra Prow Special
Lunch Pho Ga Special
Lunch Mixed Vegetable Delight Special
Lunch Bun with Sauteed Chicken Special
Lunch Bahn Mi Flank Steak Special
Vietnamese Pork Chop
Cashew Chili Chicken
Clay Pot Cat Fish
Beef Panang Curry
Crispy Duck Confit Red Curry
Eggplant Tofu with Spicy Garlic Sauce
Bo Luc Lac
Kra Pow Gai Kai Dao
Short Ribs Banh Mi
Pork Belly Banh Mi
Spicy Lemongrass Kalbi Short Ribs
Flank Steak Banh Mi
Pho Bo
Pho Ga
Bun Bo Hue
Kui Teaw Laksa
Roasted Duck Noodles
Vegetarian Pad Thai
Pad See Iew
Sauteed Flank Steak Bun
Grilled Pork and Shrimp Bun
Crispy Fish
Pla Pao
Sea Bass
Sauteed Bean Sprouts and Chives
Grilled Japanese Eggplant
Extra Thin Rice Noodle
Extra Round Rice Noodle
Extra Flat Rice Noodle
Extra Pho Soup
Vietnamese Iced Coffee
Chinese Herbal Tea
A1. Fresh Cucumber Salad
A4. Homemade Kimchi
A8. Sauteed Chinese Bok Choy
A14. Steamed Shrimp Shumai
A16. Steamed Pork 
 Vegetable Dumpling
A17. Fried Pork 
A27. Mixed Fishball Soup
1. Vegetable 
 Egg Noodle Soup
2.Tofu 
 Vegetable Noodle Soup
3. Golden Fish Ball Noodle Soup
4. Fujianese Pork Wonton Noodle Soup
5. Pork Dumpling Noodle Soup
6. Fish Ball Noodle Soup
7. Crab Shumai 
 Golden Fish Ball Noodle Soup
10. Pork Chop Noodle Soup
13. Chicken Noodle Soup
14. Beef Stew Noodle Soup
16. Mixed Beef Noodle Soup
17. Roast Duck Noodle Soup
18. Ox Tail Noodle Soup
20. Chicken 
 Shrimp Noodle Soup
21. House Special Noodle Soup
23. Roast Pork Noodle Soup
Vegetable Dumpling Noodle Soup
Eel Noodle soup with Egg
A. Pan Fried Vegetable Noodles
B. Pan Fried Shredded Pork Chop Noodle
C. Pan Fried Noodles with Tofu
D. Pan Fried Chicken Noodle
E. Pan Fried Roast Pork Noodle
F. Pan Fried Beef Noodle
I. Pan Fried Shrimp 
 Pork Noodle
L. Pan Fried House Special Noodle
R3. Chicken Fried Rice
R13. Seafood Fried Rice
Tea
Kara-Age
Vegetable Tempura
Soft Shell Crab Tempura
Wasabi Shumai
Teba Gyo
Gyoza
Nasu Agedashi Tofu
Shumai
Shishito
Squid Garlic Age
Kamo Tataki
Takowasa
Katsuo Tataki
Sashimi
Uni Shot
Spinach Gomae
kamo tataki
Jumbo Sweet Shrimp
Miso Soup
Shio Soup
Tofu Salad
Sashimi Salad
Seaweed Salad
Tsukune
Teba
Kamo Negi
Quail Eggs Wrapped with Bacon
Washugyu Beef
Karubi
Hamachi Kama
Saba
Salmon
Ika Jalapeno
Buta Kimuchi
Miso Yaki Niku
Mackerel
Kanpachi
Sea Urchin
Ikura
Snow Crab
Tuna
Yellowtail
Scallop
Egg
Fluke
Bonito
Shrimp
Eel
Assorted Sushi
Assorted Sashimi
Maki Platter
Odanna Roll
Mr. Smith Roll
Red Dragon Roll
Wasabi Tobiko
Crispy Roll
Spider Roll
Chirashi Don
Uni, Ikura Don
Asari Ramen
Gyuu Ramen
Nippori Ramen
Sutamina Ramen
Tan Tan Men
Tonkotsu Ramen
Vegetable Ramen
SAMURAI RAMEN
Shoyu Ramen
Katsu Chicken
Kobe Beef Harami Don
Katsu Curry
Unatama Don
Gyuu Don
Katsu Don
Una-Gyuu Don
Rice
Spicy Mayo
Boiled Egg
Fried Garlic
Extra Spice
Tiramisu Glass
Iced Tea
Slushie
Bubble Milk Tea with Tapioca Pearl
Vegetable Gyoza
White Fish Tempura
Beef Negkimaki
Ika Butter
Crispy Calamari
Soft Shell Crab
Miso Eggplant
Seafood Skewer
Age Tofu
Rock Shrimp
Indian Pancakes
Satay Beef
Satay Chicken
Tempura Sampler
Kalbi
Pan-Fried Oyster
Pink Mussel
Black Cod Miso
Gua Bao
Tuna Wasabi Dumpling
Tuna Tartar
New Sushi Samlper
Tuna Tataki
Yummy Pizza
Fantasy Sandwich
New Sashimi Sampler
Fire Salmon
King Crab Tartar
Seafood Ceviche
Yellowtail Jalapeno
Vegetable Tofu Soup
Seafood Soup
Mushroom Soup
Coconut Chicken Soup
Green Salad
Spicy Kani Salad
Salmon Avocado Salad
Tuna Avocado Salad
Lobster Salad
Shrimp Papaya Salad
Tuna Roll
Salmon Roll
Salmon Avocado Roll
Salmon Mango Roll
California Roll
Eel Avocado Roll
Yellowtail Scallion Roll
Cucumber Roll
Spicy Tuna Roll
Avocado Roll
Vegetable Roll
Salmon Skin Roll
Shrimp Asparagus Roll
Spicy Crunchy Salmon Roll
Spicy Scallop Roll
Peanut Avocado Roll
Sweet Potato Roll
Alaska Roll
Philadelphia Roll
Boston Roll
Shrimp Tempura Roll
Wasabi Roll
Rainbow Roll
Dragon Roll
Manhattan Roll
Magical Roll
Ageha Roll
Dynamite Roll
Rock Roll
Naruto Roll
Viking Roll
Twister Roll
Lobster Roll
Snow White Roll
Hawaii Roll
Angry Tuna Roll
Scorpion Roll
Sunny Flower Roll
Spicy Heaven Roll
Yummy Roll
Happy Mango Roll
Google Roll
Lady Gaga Roll
Sweet Heart Roll
Sakura Roll
Amazing Roll
King Crab
Striped Bass
Squid
Tobiko
Kani
Sea Eel
White Tuna
Salmon Belly
Yellowtail Belly
Octopus
Smoked Salmon
California Uni
Chef
s Special Sushi Platter Entree
15 Pieces Sashimi Deluxe Entree
21 Pieces Chef
s Special Sashimi Platter Entree
Unagi Don
Salmon Lover
Tuna Lover
Sushi for 2
Sushi and Sashimi for 2
Chilean Sea Bass
Mango Shrimp
Thai Pineapple Fried Rice
Indian Curry Fried Rice
Live Lobster
King of the Sea
Salmon Hibachi Entree
Gourmet Sesame Chicken Entree
Bento Special
Shrimp and Vegetable Tempura Entree
House Fried Rice Entree
Eel Sauce
Hot Sauce
Ginger Dressing
Crunchy
Sushi Lunch Special
Sashimi Lunch Special
Chirashi Lunch Special
Chicken Katsu Lunch Special
Nabeyaki Soba Lunch Special
Fried Ice Cream
Mochi Ice Cream
Japanese Pear Juice (With Pulp)
California
Avocado
Vegetarian
Spicy Tuna
Spicy Salmon
Salmon Avocado
Eel Avocado
Yellowtail Scallion
Spicy Crab
Spicy Scallop
Bluefin Toro
Blue Crab
Grilled Salmon Toro
2. Shrimp Gyoza
9. Soft Shell Crab Tempura
12. Sishito Pepper
1. Tuna Tar Tar
2. Salmon Tar Tar
6. Tuna Tataki
7. Yellowtail Sashimi with Jalapeno
Littleneck Clam Miso Soup
4. Sashimi Special
5. Sushi and Sashimi Combo
8. Sushi for 2
8. Sushi for 3
Albacore Tuna
Toro
Kampachi
Salmon Roe
Botan Shrimp
Arctic Char
Crab Stick
1. California Roll
3. Spicy Tuna Roll
4. Yellowtail Scallion Roll
5. Yellowtail Jalapeno Roll
9. Spicy Salmon Roll
10. Spicy Scallop Roll
11. Salmon Avocado Roll
1. St. Patrick Roll
2. Snow Crab Avocado Roll
3. Rock Shrimp Tempura Roll
4. Special California Roll
5. Crispy Spicy Spider Roll
6. Salmon Lover Roll
7. Spicy Eel Mango Roll
8. Grilled Salmon Roll
9. Red Dragon Roll
Bento Box B
Bento Box C
1. Sushi Lunch Special
2. Sashimi Lunch Special
7. Chirashi Lunch Special
Bento Box A Lunch Special
Spinach Sesame
Super White Tuna Tataki
Filet Mignon Tataki
Tuna Tartar Martini
Salmon Shiso Avocado Tartar
Sashimi Cucumber Roll
Pizza Nuova
Blue Point Oyster
Kumamoto Oyster
Edamame Dumplings
Chicken and Shrimp Dumplings
King Crab Dumplings
Seafood Spring Roll
Shrimp and Scallop Shumai
Tempura
Rock Shrimp Tempura
Crispy Pork Filet Mignon
Natsumi Tempura Roll
Beef Asparagus Maki
Grilled Beef Short Ribs
Miso Black Cod Appetizer
Tofu Ravioli
Green Tea Gnocchi
Agedashi Tofu
Tempura Appetizer
Edamame Dumpling Soup
Chicken Green Tea Soba Soup
Spicy Seafood Lemon Grass Soup
Wafu Seaweed Salad
Seared Tuna
Super White Tuna
Smoked Eel
Seared Salmon
Salmon Toro
Sweet Shrimp
Omelette
Japanese Red Snapper
Super White Tuna Roll
Tuna Avocado Roll
Crunchy Spicy Salmon Roll
Yellowtail Jalapeno Roll
Spicy Rock Shrimp Avocado Roll
Crunchy Spicy Oyster Roll
King Crab Avocado Roll
Spicy Seafood Tempura Roll
Spicy Crab Caviar Roll
Garden Vegetable Roll
Natsumi Roll
Gold Leaf Roll
Wolf Hall Roll
Red Sea Roll
Spicy Soft Shell Crab Roll
Doppio Toro Roll
Fortissimo Roll
Dolce Vita Roll
Maki Combination
Sushi Regular
Sushi Deluxe
Chirashi
Tekka Don
Sake Don
Natsumi Sushi Set
Natsumi Nigri
Sushi and Sashimi
Toro Lounge
Natsumi Sushi and Sashimi Set Entree
Grilled Chicken Teriyaki
Grilled Salmon Teriyaki
Ginger Citrus Duck Breast
Broiled Chilean Sea Bass
Seafood Toban Yaki
Natsumi Mixed Grill
Steak Teriyaki
Seafood Tempura
Grilled Beef Filet Mignon
s Selection Dinner Box
Chicken Teriyaki Lunch Box
Shitake Tofu Steak Lunch Box
Salmon Teriyaki Lunch Box
Tuna and Salmon Lunch Special
Spicy Tuna Tartare Cone
2 Piece Uni Corn
2 Piece Sukiyaki Beef Buns
Smashed Cucumber Salad
Grilled Organic Maitake Mushroom
Nibitashi Braised Eggplant
Shishito Pepper
Soy Garlic Fried Tatsuta Chicken
Udon Pon Dumpling
Creamy Spicy Shrimp Tempura
Silken Tofu
Braised Pork Belly
Fried Oyster
Seared Salmon Sashimi
Lamb Chop with Spicy Miso
Grilled Duck Breast
Wagyu Sushi
Negitoro Roll
King Salmon Roll
Blue Crab California Roll
Sea and Truffle Roll
Seared Salmon Blue Crab Roll
Shrimp Tempura and Blue Crab Roll
3 oz. Kanpachi Sashimi
1.5 oz. Uni Sashimi
Oyako Don
Uni, Ikura, and Crab Donburi
Kaisen Don
Hot and Sour Udon
Curry Udon
US Wagyu Shabu Curry
Truffle Creme with Crab and Mushroom
Beef Udon
Chicken Udon
Duck Udon
Sukiyaki Udon
Steamed Thai Dumpling
Som Tum**
Tom Yum Goong Soup**
Tom Jerd Soup
Sen Mee Neua Peuy
Chicken Green Curry**
Chicken Basil***
Chicken Ginger
Pad Thai Noodle
Pad Kee Mao***
Pad Se-Ew
Kow Pad Kana
Vegetable Ginger
Thai Seafood Cake
Thai Steamed Mussels
Sai Auo (Northern Style Pork Ball)
Mango Avocado Salad
Plar Koong Salad
Up Thai Fried Rice Claypot
Similan Curry
Poh Tak (Thai-Style Bouillabaisse)
Nam Tok
Duck Prig Pao
Kang Ped Pet Yang
Salmon Tamarind
Pla Saam Ross
Prawn Shu Shee
Up Spring Rolls
Moo Ping (Thai-Style BBQ Pork)
Thai-Herbed Wings
Chive Dumplings
Tom Juad Soup
Green Market Salad
Larb Gai (Spicy Thai Chicken Salad)
Yum Woon Sen (Glass Noodle Salad)
Pad Thai Woonsen
Kua Gai (Chicken)
Pad Woonsen Poo (Crab Vermicelli)
Kwaytiew Gai (Chicken Noodle)
Kao Soy (Northern-Style Noodle Curry)
Ba Mee
Jeed Jard (Spicy Peanut Tom Yum)
Crab Fried Rice
Moo Dang (Roasted BBQ Pork)
Kao Nar Gai
Kao Nar Ped Krob
Pad Krapraw (Basil)
Pad Khing (Ginger)
Pad Kratiam (Garlic)
Pra Ram
Eggplant Basil
Gai Yang
Lemongrass Pork Chop
Salmon Kiew Warn
Pla Neung
Duck Basil
Sauteed Ginger Lunch Special
Sauteed Cashew Nut Lunch Special
Panang Curry Lunch Special
Pad Thai Woon Sen Lunch Special
Pad Se-Ew Lunch Special
Kea Mao Lunch Special
Kwaytiew Gai Lunch Special (Chicken Noodle)
Thai Fried Rice Lunch Special
Basil Fried Rice Lunch Special
Pineapple Fried Rice Lunch Special
Moo Dang Lunch Special
Krapraw Gai Sub with Fried Egg Lunch Special
Jasmine White Rice
Berry Brown Rice
Black Sticky Rice
Sauted Baby Bok Choy with Garlic Sauce
Fried Banana with Coconut Ice Cream
Mango Mousse Cake
Mango Sticky Rice
Chocolate Molten cake with Thai Tea Ice Cream
Chocolate Mousse Cake
Jasmine Iced Tea
Lychee Thai Tea
Yuzu Lemonade
Extra Chicken
Water
Sate
Country Style Curry
Key Mao Noodle
Ko Si Mee
Mixed Vegetables
Crispy Pork Basil
Crispy Pork with Chinese Broccoli
Pad Gra Prow Thai Style
Duck Curry
Noodle Soup
Tom Yum Noodle
Duck Noodle
Dam Noen Noodle
Yen Ta Fo Noodle
Ba-Mee Moo Dang
Ahi Tuna Classic
Salmon Classic
Rainbow Love
Yuzu Albacore Tuna
Chicken Poke
Tofu Poke
Regular Size
Large Size
Calpico Soda
Buta Kimchi
Berkshire Sausage
Pork Gyoza
Shrimp Shumai
Shokudo
s Chicken
Takoyaki
Pork Katsu Cutlet
Tuna Tartare
Yellowtail Carpaccio
Salmon-Avocado Roll
Meltin Salmon Roll
Black Dragon Roll
Salmon Ikura Don
Bento Box
Gyu Don
Tempura Udon
Niku Udon
Veggie Miso Ramen
Cold Ramen
Lunch Box
Hot Soy Milk
Cold Soy Milk
Kung Fu Steamed Pork Buns
Steamed Pork Buns with Crab Meat
Steamed Pork Buns with Shrimp and Chinese Okra
Pork and Shrimp Wonton Soup
Scallion Pancake with Sliced Beef
Pan-Fried Peking Duck Buns
Shanghai Spring Roll
Turnip Puffs
Shanghai Pan-Fried Pork Buns
Sticky Rice Shao Mai
Pan-Fried Bun with Egg and Chives
Pan-Fried Pork Dumplings
Steamed Vegetable Dumplings
Steamed Chicken Dumplings
Steamed Pork Dumplings
Steamed Shrimp and Pork Dumpling
Steamed Fish Dumplings
House Special Ramen Soup
Spicy Beef Ramen Soup
Beef Ramen Soup
Chicken Ramen Soup
Roast Duck Ramen Soup
Beef Tendon Ramen Soup
Cold Sesame Ramen Soup
Vegetable Sliced Noodle Soup
House Special Stir-Fried Ramen
Beef Stir-Fried Ramen
Pork Stir-Fried Ramen
Marinated Pig Ears
Stir-Fried Shredded Beef with Chili Pepper
Stir-Fried Spicy Tofu
Stir-Fried Tomatoes and Egg
Sauteed Bok Choy
House Special Fried Sliced Noodle
Steamed Red Bean Buns
Sticky Rice Ball in Sweet Rice Soup
Red Bean Puffs
Saratoga Still Water
Q Ginger Beer
Avocado Smash Brunch
Eggs Benedict Brunch
Fried Egg and Bacon Sammy Brunch
Brussel Sprout Hash Brunch
Skillet Baked Pancake Brunch
Smoked Salmon Benedict Brunch
Baked Eggs in Tomato Sauce Brunch
Shrimp 
N
 Grits Skillet Brunch
Jalapeno Mac and Cheese Brunch
Scrambled Egg Tacos Brunch
Double Cut Bacon BLT Brunch
Beef Burger
Lamb Burger
Goat Cheese Croquette Salad
Frisee Salad
Radish Caesar Salad
Green Asparagus Salad
Caramelized Pear Salad
Breakfast Flatbread Brunch
Duck Hash Brunch
Fries
Garlic Parsley Fries
Cheese Fries with Gravy
Side of Bacon
Sweet Potato Tots
Thai Deviled Eggs
Roasted Cauliflower
Everything Pretzel
Fried Wisconsin Cheese Curds
Artichoke and Sundried Tomato Cheese Dip
Buffalo Chicken Spring Rolls
Duck Confit Spring Rolls
Crispy Chicken Tenders
Dry Rubbed Crispy Chicken Wings
Bacon Wrapped Wings
Mediterranean Mezze
Beef Skillet Nachos
Deep Dish Pork Nachos
New York Style Poutine
Guacamole, Salsa 
 Spiced Tortilla Chips
Ancient Grain Bowl
Smoked Pork Taco
Grilled Shrimp Taco
Classic Margarita Flatbread
Pepperoni Flatbread
Chicken Pesto Flatbread
Sausage 
 Broccoli Rabe
Beef Slider
Lamb Slider
10 hour Smoked Pulled Pork
Falafel Bun
Chicken Parm Slider
Cheese Board
Cheese and Charcuterie Combo
Fish and Chips
Grilled Hanger Steak
Jalepeno Mac n Cheese
Carrot Cake
Sticky Toffee Pudding
Dark Chocolate Popsicles
Dry Rub Crispy Chicken Wings
Maple Bacon Frisee Salad
Braised Duck Sandwich
Grilled Flatiron Steak Sandwich
Grilled Chicken Sandwich
Fried Chicken Sandwich
Grilled Cheese Sandwich
Tavern Tots
Grilled Buffalo Wings
3 Cheese Quesadilla
Brussels Sprouts
Fish Tacos
Poutine
Baked Nachos
Fried Pickles
Cheeseburger Burritos
Soup of the Day
Lilly
s Salad
Kale Caesar Salad
Create Your Own Burger
Ranger Burger
Cowboy Burger
Turkey Burger
Pan-Seared Black Bean Burger
Avocado and Arugula Sandwich
Grilled Flat Iron Steak Sandwich
Smoked Salmon and Avocado Sandwich
s Burger
Grilled Portobello Mushroom Wrap
Mac and Cheese Sliders
Pulled Pork Sliders
Fried Chicken Sliders
Braised Short Rib Sliders
Shepherd
s Pie
Cherry-Bourbon Glazed Salmon
Buffalo Chicken Mac and Cheese
Classic Mac and Cheese
 Bacon
Sauteed Spinach
Seasonal Vegetables
Drunken Potato
Mashed Potatoes
Sweet Potato Fries
Hand-Cut Fries
Tater tots
