Tomato Basil Shorba
Chana Masala
Mix Vegetable Korma
Paneer Tikka Masala
Malai Paneer Chaat Bhavan Signature Dish
Matter Paneer
Chili Paneer
Rajmah
Tadka Dal
Spinach Dal
Tandoori Paneer Tikka Kebab
Methi Paratha
Spinach Paratha
Aloo Paratha
Gobi Paratha
Paneer Paratha
Lacha Paratha
Makki Di Roti
Chilli Thyme Naan
Kulcha
Masala Roti
Rice
Kheer
Faluda Kulfi
Chai
Bru Coffee
Watermelon Juice
Pineapple Juice
Lemonade
Fresh Coconut Water
Fresh Mango / Pineapple / Strawberry Lassi
Salt Lassi
Buttermilk
Fresh Blueberry Lassi
Kala Khatta
Strawberry Watermelon Cooler
Aam Panna
Strawberry Lemonade
Ginger-Lemonade
Appam and Egg Curry
Egg Appam and Egg Curry
Indo-Jamaican Breakfast
Poori-Masala
Chole-Bhature
Baked Papdi Chaat
Street Sliders
The Spicy O
Street Deviled Eggs
Bhel Puri
Street Tikki Chaat
Pav Bhaji
Street Cutlets
Street Dabeli
Corn Chaat
Samosa Chaat
Samosas
Paneer Tikka
Tandoori Chicken
Naan
Tandoori Chicken Paratha
Plain Dosa
Set Dosa
Cone Dosa
Plain Idli
Mini Idli
Sambar Idli
Street Cafe Chicken, Shrimp or Tofu
Black Pepper Chicken, Shrimp or Tofu
Yogurt Chicken
Unwrapped Chicken Wrap
Chicken Roll
Kotu Paratha
Amazing Tikki Burger
Biryani
Country Masala Chicken Curry
Coconut Curry Chicken
Saag Chicken
Kashmiri Rogan Josh (Lamb Curry)
Spicy Toddy Mutton Fry
Country Masala Paneer
Saag Paneer
Malabar Paratha
Chapati
Stuffed Parathas
Poori
Bhature
Grilled Vegetables
Spicy Potato Wedges
Biscuit Pudding
Vegetable Gujarati Samosa (3)
Roti
Undhiyu
Plain dosa
Paper masala dosa
Cone dosa
Masal dosa
Ghee dosa
Onion dosa
Onion masala dosa
Podi dosa
Podi masala dosa
Kara dosa
Kara masala dosa
Mysore masala dosa
Vegetable dosa
Special vegetable dosa
Plain uthappam
Onion uthappam
Onion tomato uthappam
Vegetable uthappam
Special uthappam
Onion Chili Uthappam
Onion Tomato Chili Uthappam
Idly
Idly with podi
14 mini idlies
Upma
Chappathi-chana
Poori Masala
Poori-chana
Poori-kurma
Channa batura
Plain Rava Dosa
Onion Rava Dosa
Onion Rava Masala
Special Rava Masala
Plain Rava Masala
Veg Biryani
Madras paratta
Kothu paratta
Tomato Dosa
Tomato Masla Dosa
Cheese Dosa
Cheese Masala Dosa
Butter Dosa
Butter Masala Dosa
Spring Dosa
Madras Filter Coffee
Badam Milk
Masala Tea
Butter Milk
Mazza
Idly-vada
Pongal-vada
Variety rice plate
Upma-Vada
Kesari
Pongal
Puliyotharai
Lemon Rice
Tomato Rice
Sambar Rice
Channa
Chutney
Podi
Ghee
Yoghurt
Kurma
Masala Chai
Vegetable Samosa
Vegetable Pakora
Vegetable Momo
Vegetable Cutlets
Paneer Tikka Kebob
Chili Chicken
Chicken Tikka Kebab
Chicken Momo
Fish Pakora
Bhindi Masala
Kadhi Pakora
Shahi Paneer
Kadhai Paneer
Veggie Korma
Sarson Ka Saag
Dal Makhni
Palak Paneer
Rajma Masala
Chicken Curry
Kadhai Chicken
Chicken Vindaloo
Egg Curry
Lamb Curry
Lamb Vindaloo
Pani Puri
Chaat Papdi
Dahi Sev Puri
Vada Pav
Chole Bhature
Onion Paratha
Plain Roti
Onion Kulcha
Paneer Naan
Jeera Rice
Fried Egg Rice
Veggie Biryani
Chicken Biryani
Goat Biryani
Lamb Biryani
Ras Malai
Gajar Halwa
Abhiruchi Thali Meal (currys Packed in 8Oz Containers)
Abhiruchi Plate Meal (currys Packed in 5Oz Containers)
Chapathi Plate - 3 Chapathi with Dal and today
s special curry
Yogurt Rice
Tamarind Rice
Paneer Burji Dosa
Chocolate Dosa
Pesarattu Upma
Ghee Masala Dosa
Andhra Kara Masala Dosa
Mysore Dosa
Rava Dosa
Pesarattu
Utappam
Mix Veg Utappam
Cheese Utappam
Idli
Rasam Idli
Ghee Podi Idli
Vada
Butter Cone Dosa
Kids Abhiruchi Plate Meals
Mirchi Bajji
Punugulu
Rose Milk
Fresh Pineapple Juice
Fresh Watermelon Juice
Filter Coffee
Chicken Lollipop
Meen Varuval Fish Fry
Nethili Fry
Fish 65
Vegetable Cutlet
Cauliflower 65
Kozhi Soup
Mutton Bone Soup
Karuveppilai Soup
Chicken Chettinadu
Chicken Pepper Fry
Chicken Special Keema Masala
Pallipalayam Chicken
Chef
s Special Chicken Curry
Nattukozhi Kolumbu
Nattu Kozhi Roast
Mutton Roast
Mutton Curry
Special Mutton Kothu Curry
Meen Kulambu Fish Curry
Yera Milagu Varuval Prawn Pepper Fry
Shrimp Curry
Prawn Karuvepilai
Nandu Masala
Vegetable Korma
Kadai Paneer
Yennai Kathrikai
Poondu Kolumbu
Sambar
Egg Biryani
Plain Biryani
Ambur Mutton Biryani
Chapati with Chicken Curry
Chapati with Goat Curry
Paratha with Vegetable Khurma
Paratha with Chicken Curry
Idly with Sambar and Chutneys
Idly with Goat Curry
Idly with Fish Curry
s Special Paneer Aappam
Egg Aappam
Spl Aachi Chicken Keema Aappam
Aappam with Coconut Milk
Aappam with Chicken Curry
Spl Mutton Keema Aappam
Aappam with Fish Curry
Idiyappam with Chicken Curry
Idiyappam with Fish Curry
Aappam
Coconut Milk
Yogurt
Baby Corn Manchurian
Cauliflower Manchurian
Chilli Chicken
Vegetable Fried Rice
Fruit Custard
Chicken Lollypop
Meen Varuval
Crispy Fried Prawns
Mutton Soup
Rasam
Kadai Paneer Curry
Yennai Kathrikai Curry
Poondu Kulambu Curry
Paneer Butter Masala Curry
Mutter Paneer Masala Curry
Special Chicken Biryani
Kids Cone Dosa
Masala Dosa
Mysore Masala Dosa
Ghee Roast Dosa
Paper Roast Dosa
Kara Dosa
Podi Dosa
Karuvepillai Dosa
s Special Dosa
Chicken Keema Dosa
12 Piece Mini Idli
Mini Sambar Idly
Idli with Goat Curry
Idiyappam with Coconut Milk
Special Chicken Keema Aappam
Mutton Keema Aappam
Vegetable Kothu Paratha
Egg Kothu Paratha
Chicken Kothu Paratha
Babycorn Manchurian
Chicken Chettinadu Curry
Chicken Pepper Fry Curry
Pallipalayam Chicken Curry
Butter Chicken Masala Curry
Naatukozhi Kolumbu Curry
Naatukozhi Roast Curry
Mutton Roast Curry
Mutton Kothu Curry
Egg Masala Curry
Meen Kolumbu Curry
Yera Milagu Varuval Curry
Prawn Karuvepilai Curry
Nandu Masala Curry
Appam
Kal Dosa
Plain Rice
Chappati
Ice Cream
Gulab Jamun with Ice Cream
Falooda
Nattukozhi Biryani
Tomato Coconut Shorba
Avocado, Cherry Tomato and Corn Salad
Sev Batata Puri
Potato and Peas Samosa
Dahi Kebab
Mung Dal and English Pea Kebab
Nimbu Chicken
Tamarind Pepper Shrimp
Tandoori Kebab Sampler
Chingari Paneer Tikka
Bharwan Aloo
Tandoori Salmon
Ambiya Jheenga
Lemon Sea Bass
Trio of Chicken Kebab
Lamb Boti Kebab
Frontier Kebab
Stuffed Naan
Trio of Bread
Cauliflower and Cashew Bezule
Kandhari Kofta
Baingan Mussallam
Subz Handi
Rajasthani Aloo and Edamame
Mushroom Chettinad
Paneer Khatta Pyaz
Nalli Vindaloo
Lobster
Bombay Fish Masala
Shrimp Ambo-Tik
Telicherry Pepper Lamb
Basmati Rice
Brown Basmati Rice
Dal Amber
Tadkewali Peeli Dal
Hyderabadi Chicken Biryani
Pappad
Elaichi Mango Panna Cotta
Coke
Paneer Chilly
Gobi
Dhaba Chili Chicken
Narangi Murg Tikka
Chicken Tikka Kabab
Prawn Dum Ka Biryani
Sankranti Special Biryani
Tikka Masala
Rayalaseema Goat Vepudu
Goat Fry
Talapia Jalfry
Bhimavaram Fish Fry
Royyala Vepudu
Paneer Aur Mirchi Ka Salan
Guttivankai Gravy
Jaipur Bhindi
Guntur Egg Bhurji
Chicken Chow Mein
Veg. Fried Rice
Chilli Chicken with rice
Water
Dahi Batata Sev Poori
Dahi Papdi Chaat
Chole Papdi Chaat
Sev Poori
Bread Pakoda
Alu Tikki Chole
Alu Chaat
Lassi
Ammu Punna
Aloo Tikki
Dahi Pappdi Chat
Mirch Masala
s Chilli Paneer
House Salad
Chicken Kebab
Channa Bhatura
Vegetable Hakka Noodle
Chicken Tikka Sizzler
Tandoori Chicken Sizzler
Vegetable Wrap
Paneer Wrap
Gobi Aloo
Malai Kofta Curry
Daal Tarka
Masala Bhindi
Punjabi Kadhi Pakora
Karahi Chicken
Lamb Vandalo
Mirch Masala Spicy Kulcha
Crisper Whisper
Tikka Burger
Bomb Kabob
Veggie burger
Veggie Paratha
Chicken Paratha
Chapli Paratha
Lados Fries
Crazy Curry Fries
Iced Tea
Sarbat
Chicken Chili
Chicken Manchurian
Apollo Fish
Pepper Shrimp
Mutton Sukka
Andhra Chicken Fry
Chicken Pakoras
Fish Pakoras
Chicken Momos
Hot and Sour Soup
Sweet Corn Soup
Himalayan Soup
Sweet Corn Chicken Soup
10 Piece Punugulu
Mushroom 65
Samosa Chat
Fried Idly
Vegetable Momos
5 Piece Stuffed Mirchi
Yellow Dal
Dal Makhani
Baigan Bharta
Garlic Chicken
Naatu Kodi Pulusu
Egg Masala
Gongura Chicken
Himalayan Lamb Special
Lamb Saag
Chicken Saag
Lamb Tikka Masala
Andhra Chepala Pulusu
Hyderabadi Chicken Dum Biryani
Goat Dum Biryani
Vijayawada Boneless Chicken Dum Biryani
Vijayawada Paneer Dum Biryani
Vijayawada Egg Dum Biryani
Lamb Fried Rice
Prawn Fried Rice
Vegetable Burrito
Lamb Burrito
Chicken Burrito
Chicken Wrap
Himalayan Special Chicken Thali
Himalayan Special Goat Thali
Himalayan Special Lamb Thali
Himalayan Special Fish Thali
8 Piece Chicken Tikka Kabab
Half Tandoori Chicken
Tandoori Fish Tikka
2 Piece Fire Naan
Plain Basmati Rice
Double Ka Meetha
Rice Kheer
