1. Kompot
Uzbek Plov
Hanum (4)
Braised Cabbage
Brizol
Kovurma Lagman
Spicy Chicken Wings
Stuffed Peppers
Fried Fish (bass)
Chicken 
tabaka
Lamb Shish Kebab
Chicken Shish Kebab
Kazan Kebab
Chak-chak
Soda
Water
Mochi Ice Cream
Ice Cream
Aged Miso Soup
Chicken Hot and Sour Miso Soup
Warm Wild Mushroom Salad
Seaweed Salad
Peanut Mango Avocado Salad
Spicy Tuna Salad
Shrimp Shumai
Pork Gyoza
Vegetable Gyoza
Duck Bun
Garlic Broccoli
Duck Spring Roll
Fire Cracker Shrimp
Korean Style Calamari
Chicken and Mushroom Lettuce Wrap
Tuna Wasabi Dumplings
Tricolor tartar
Uni
Madai
King Crab
Toro
White Tuna
Salmon
Hamachi
Unagi
Scallop
Kani
Shrimp
Tamago
Tobiko
Tuna roll
Tuna avocado roll
Seared tuna mango avocado roll
Salmon roll
Salmon avocado roll
California roll
Toro scallion roll
Shrimp tempura roll
Philadelphia roll
Spicy crunchy tuna roll
Spicy crunchy salmon roll
Spicy crunchy white Tuna roll
Spicy crunchy shrimp roll
Avocado roll
Cucumber Roll
Sweet Potato Tempura Roll
Kiku Roll
Paradise Roll
Black Angel Roll
Jalapeno Roll
Autumn of NY Roll
Park Slope Roll
Angel Roll
Naruto
Green Lady Roll
Manhattan Roll
Spicy Girl Roll
Sandwich
Valentine Roll
Triple Sushi
Sushi Platter
Sashimi Platter
Salmon and Tuna Dream
Chirashi
Sushi for 2
Yakitori
Teriyaki
Penang Curry
Pan Seared Atlantic Salmon
Roasted Duck
Miso Glazed Chilean Seabass
Yaki Udon
Udon Soup
Shoyu Ramen
Miso Ramen
Thai Shrimp Fried Rice
White Rice
Sushi Rice
ponzu sauce
Spicy Mayo
Regular Popcorn Chicken
Half Fried Chicken
Whole Fried Chicken
Fried Chicken Sandwich
Salad
Collard Greens
Mac and Cheese
Potato Salad
Coleslaw
Kimchee
Corn Bread
Grits
Corn on the Cob
Wangs Hot Sauce
Wangs Not Hot Sauce
Blueberry Hibiscus Iced Tea
Lime Soda
Ube Shake
Mango Shake
Sago Smoothie
Corn Bibingka
Peel 
 Eat 7-Up Shrimp
Tuna Kilawin
Pugita Salad
Spicy Chicken Langkawas
Jicama Salad
Bola-Bola Dumplings
Sisig
Filipino BBQ
Grilled Chicken Inasal
Fish Inihaw
Bistek
Grilled Spare Ribs
Grilled Spare Ribs with 2 Sides
Seafood Malabon
Liempo
Bagoong Beef
Grilled Tupa
Dad
s Overnight Adobo
Kamote
Pechay
Laing
Side Salad
Garlic Rice
Corn
Green Beans 
 Longanisa
Greens
Sitaw
Tosilog
Longsilog
Tapsilog
Bangsilog
Sisilog
Hot Pink Dragon Pitaya Smoothie
Mango Madness Smoothie
Very Berry Smoothie
Banana Chocolate Smoothie
Blueberry Smoothie
Strawberry Banana Smoothie
Avocado Banana Smoothie
Papaya Smoothie
Avocado Smoothie
Mango Pineapple Slush
Watermelon Slush
Mango Diamond Slush
Kiwi Slush
The Pitaya Smoothie Bowl
The Nutaya Smoothie Bowl
The Original Acai Bowl
Almond Acai Bowl
Brain Booster PB Acai Bowl
Aloha Bowl
The Island Hopper Bowl
Eel Rice Roll
Chicken Rice Roll
Shrimp Rice Roll
Meat Floss Rice Roll
Bacon Rice Roll
Kimchi Rice Roll
Spicy Chicken Rice Roll
Kimchi beef riceroll
Beef Riceroll
Saltfish
Ackee
Bake / Saltfish
Callaloo
Oxtail
Jerk Chicken
Roti Skin
Curry Goat
Stew / Curry Chicken
Soup
Curry Shrimp
Buttermilk Biscuits
Baby Lettuce Salad
Wedge Salad
Fruit, Yogurt and Granola
Spiced Beef Empanada
French Toast
German Pancake
Corned Beef Hash and Eggs
Fish Pickles and Chips
Chicken Fried Chicken
Huevos Rancheros
Ox Skillet
Shrimp and Grits
Ox Burger
Cali-Patty Burger
Alamo Burger
Good Ol
 Boy Burger
La Vaca Burger
Ox-Less (veggie) Burger
Turkey Burger
Hand Cut Fries
Yuca
Fried Pickle
Soft Baked Pretzel
Crispy Brussel Sprout
Thai Curry Mussels
Chicken Liver Mousse
Grilled Skirt Steak
Pan Roasted Salmon
Slow Cooked Pork
Chile Relleno
Lamb Lasagna
Ox-less (Veggie Burger)
Yucca Fries
Sweet Potatoes
Baby Arugula Salad
Caesar Salad
Good ol
Veggie Burger
Steak Sandwich
IMPORTANT Delivery Note
Blue Moon
Buffalo Tater Tots
Fried Artichoke Hearts
Deep Fried Corn on the Cob
Chopped Salad
Strawberry Goat Cheese Salad
Beef Burger
Kobe Beef Burger
Bison Burger
Lamb Burger
Tuna Steak Burger
House Made Potato Chips
French Fries
Mixed Greens
Sweet Potato Waffle Fries
Tater Tots
Frizzled Onions
Chipotle Mayo
Sriracha Ketchup
Jalapeno Mayo
Horseradish Cream
Honey BBQ Sauce
Buffalo sauce
Snickerdoodle Cookie Ice Cream Sandwich
BBQ Ribs
Garlic Shrimp and Chorizo
Baked Clams
Sauteed Calamari
Fried Chicken Wings
Fried Oysters
Beef Marrow and Oxtail Marmalade
Salt and Pepper Shrimp
Shrimp Cocktail
New Orleans Shrimp
Cream of Tomato Soup
Matzo Ball Soup
Greek Salad
House Salad
Kale Salad
Escargot
Hamburger Deluxe
Black Bean Veggie Burger
Land and Sea
Surf and Turf
Steamed Lobster
Sweet and Spicy Catfish
Red Trout
New York Strip Steak
Braised Beef Shoulder
Grilled Pork Chop
Fried Chicken
Oxtail Fried Rice
Paella Basquez
Paella Magdalena
Risotto
Seafood Stew
Spinach
Mashed Potatoes
Grilled Asparagus
Chocolate Bruno
Banana Walnut Bread Pudding
Chocolate Chip Bread Pudding
Creme Brulee
Banana Split
Fresh Berries
Coke
Evil Twin Hipster Ale, pale ale 12oz 5.5%
Night Shift, 
Nite Lite,
 12oz 4.3%
Ho
 Cake
Spiced Edamame
Tteokboki
K-Pop chicken
Mok Wings
Disco Fries
Pajeon
Kalbi Dumplings
Halmoni Dumplings
Classic Ramen
Kimchi Ramen
Chicken Ramen
Army Budae Ramen
Army Ramen
Chicken Samgyetang Ramen
Vegan Miso Ramen
Royal Bibimbap
Chicken Curry Katsu
Spicy Kalbi jjim
Fish of the day
Fish of the Day
Kimchi
Kimchi Trio
BEC Hocake
6 wings
Kimchi Fries
Calamari
Bulgogi Nacho
Bulgogi Quesadilla
Japchae
Avocado Salad
Boneless Chicken
Edamame
Pajun
Crunchy Chicken Tenders
Rock Shrimp
Kale and Avocado Salad
Ddukbokki
Bo Ssam
Kimchi Jun
12 wings
Truffle Parmesan Fries
Budae Jjigae
Seafood Soft Tofu Stew
Kimchi Jjigae
Yuk Gae Jang
Ddukbaegi Bulgogi
Dduk Mandoo Guk
Ginseng Chicken Soup
Pork Belly Ramen
Spicy Beef Ramen
Japchae Noodles
Fried Rice
Stir-Fried Noodle
Tofu Veggie Ramen
Kimchi Tofu Veggie Ramen
Bulgogi Dolsot
Galbi Dolsot
Jeyook Dolsot
Kale and Tofu Dolsot
Kimchi Fried Rice
Salmon Dolsot
Spicy Squid Dolsot
Bulgogi
Prime Galbi
Pork Belly BBQ
Spicy Squid
Oh-Sam
Steak and Egg Lunch Special
Bibimbap Lunch Special
Kimchi Fried Rice with Jayuk (Spicy pork)
Kimchi Avocado Stone Bowl
Kimchi Veggie Tofu Ramen
Chicken Teriyaki
Salmon Teriyaki
Bibimbap (Rice Bowl)
Crispy Spicy Yang-Yum Chicken Wings
Beef Gyoza
Zucchini
Mungbean Kimchi Pancake
Grilled Oysters Seaweed Butter
Fried Scallops
Saucy and Spicy Rice Cake Fundido
Tender Braised Pork Ribs
Black Sea Bass filet
Braised Tofu
Haenyeo
s Spicy Winter Bouillabaisse
Sauteed Short Rib Strips Broccoli Oyster Mushrooms
Boneless Beef Short Rib Barbecue
Spicy Thin Slices of Pork Barbecue
Hearty Miso Stew
Sugar Dusted Beignets
Warm Flourless Chocolate Cake
Crispy Chicken Lunch Box
House Boneless Duck Lunch Box
Brook Trout Lunch Box
Shumai
Spring Roll
Miso Eggplant
Chance Pancake
Chicken Lettuce
Chicken and Beef Satay
Chance Spare Ribs
Rock Shrimp Tempura
Seafood Eggplant
Fire Cracker Lobster
Cucumber Special
Green River
Sesame Tuna
Hot and Sour Chicken Soup
Miso Soup
Shrimp Wonton Soup
Butternut Squash Soup
Seafood Tom Yum Soup
Chance Salad
Rainbow Salad
Mango Shrimp Salad
Pan-Fried Pork Pot Sticker
Pan-Fried Vegetable Pot Sticker
Pan-Fried Beef with Pine Nut Dumpling
Pan-Fried Lobster with Spinach Dumpling
Steamed Chicken Shu Mai
Steamed Pork Dumpling
Steamed Shrimp Dumpling
Steamed Roast Pork Bun
Steamed Sticky Rice with Chicken and Shrimp
Deep-Fried Shrimp Wonton
Deep-Fried Crab Claw
Shrimp and Pineapple Fried Rice
Thai Fried Rice
Pad Thai
Chance Rice Noodle
Crispy Pan-Fried Noodle
Brown Rice
Wok Sauteed Green Beans
Crispy Tofu
Tofu and Eggplant
House Peking Duck
Black Pepper Duck
Wok Ginger Chicken
Mango Chicken
Mango Shrimp
Chance Chicken
Teriyaki Salmon
Curry
Grilled Pork Chops
Sweet Sesame Beef
Orange Crispy Beef
Brook Trout
Seared Salmon
Spicy Miso Chilean Sea Bass
Steamed Sea Bass
Two Flavor Shrimp
Curry Red Snapper
Chocolate Souffle with Strawberry Compote
Banana Spring Roll with Caramel
Deep-Fried Green Tea Ice Cream
Chocolate and Banana Pyramid
Banana Coconut Crisp with Caramel a la Mode
Ice Cream Sampler
Spicy Salmon Crunch Rolls
Pitcher of Homemade Fruit Punch
Tarhun
Fish Platter
Shurpa Soup
Lagman Soup
Okroshka Soup
Piti Soup 
Dushanbe
Classic Greek Salad
Tashkent Salad
Avocado Salad Kavkaz
Fish Salad
Achichuk Salad
Shakarob Dushanbe
Nowruz Salad
Babaganoush
Morkovcha
Chicken
Lamb
Lamb Ribs
Lula Shish Kebab
Beef
Trout
Lulya Dushanbe
Chicken Tabaka
Kurutob
Dumplings
Fried Dumplings
Samsa Gizhda
Skirt Steak
Tandir Kebab
Plov
Home Style Potatoes with Mushrooms
Home Style Potatoes with Garlic and Herbs
Flatbread 
Non Toki
Fatir Bread
Apple Strudel
Donuts
Manty
Pilaf
Cheburek (1 Pc)
Carrot Salad
Mix Salad
Salad Langsai
Fresh Salad
Otush Salad With Meat 
 Pinchuz
Geiro Lagman
Veal
Ground Beef
Lamb Chops
Naryn
Chasip
Gigar
Nokhat
Naan
Rice
Fried Potato
Compote
Coffee
Ayran
Home Made Fruit Compot
Apple Juice
Turkish Liver
Cheese Cigars
Manti with Meat
Manti with Pumpkin
Crispy Manti
Samsa with Meat
Samsa with Pumpkin
Khonim
Dumplings with Meat with Caramelized Onions and Sour Cream
Crispy Dumplings Filled with Potato and Dill Served with Sour Cream
Home Fries with Mushrooms
Lamb Chop Kebab
Spring Salad with Feta Cheese
Salad Navruz
Achichuk
Hummus
Salad Bojon
Fried Eggplant Salad
Korean Carrot Salad
Nargis Salad
Kebabs
3. Chilean Sea Bass Combo 7 oz portion
5. Uzbek Plov Combo
9. Braised Lamb Shank Combo
Assorted Baklava
Chak-Chak
Warm Pecan Pie with Vanilla Ice Cream
Kare Spring Rolls
Shishito and Rock Shrimp Tempura
Takoyaki
Short Ribs Yaki
Ichi Wings
Tan Tan Ramen
Miso Salmon
Miso Pork Chashu
Organic Tofu Mazemen
Veggie Ramen
Cold Ramen
Rayu Beef Ramen
Toro Poke
Salmon Poke
Spicy Tuna Poke
Ahi Tuna Poke
Buta Kimchi Poke
Gyudon
Buta Bun
Veggie Bun
Takowasa
Kara Age
Naruto Buns
Half Cha-Han
Negi-Tama Chashu
Curry Ramen
Vege Shoyu Ramen
Vege Curry Ramen
Tan-Tan Ramen
Sura Tanmen
Cha-Han
Chicken Curry
Vege Gyoza
Butter
Menma
Kaedama
Echigo
Ramune
Sapporo Draft
Hamburger
Cheeseburger
Wingbar Burger
Bacon Cheeseburger
Hot Dog
Veggie Dog
Grilled Chicken Sandwich
Sloppy Joe Sandwich
Tilapia Fish Sandwich
10 Wings
20 Wings
50 Wings
100 Wings
Chili Cheese Fries
Beer-Battered Onion Rings
Fried Brussels Sprouts
Fried Pickles
Mozzarella Sticks
Loaded Nachos
Brownie Sundae
Latte
hash it out
Veggie Nachos
Bacon
Sausage
Toast
Cheese
Kale
Madcap Greens
Meatballs
Key lime pie
Chicken Flatbread
Tortillas*
Avocado*
Watermelon Salad
Ceviche
Lamb Tacos
Mushroom Quesadilla
Anticuchos*
Coconut Plantain Stew *
Pan Roasted Bluefish*
Picante de Mariscos
Pato en Mole Poblano
Slow Cooked Pork*
Deviled egg
Crostini
Lentil soup
Caesar salad
Corned short ribs
Whole roasted fish
Beef Noodle Soup
Beef Stew  Noodle Soup
Beef Stew Noodle Soup
T05. Summer Rose Black Tea
D01. Snow White Mango Slush-O
D02. Mango Slush-O
D03. Mango Strawberry Slush-O
D06. Watermelon Slush-O
D08. Fresh Banana Slush-O
D09. Snow White Slush with Red Bean and Mango
D10. Green Tea Slush with Red Bean and Black Rice
H02. 4 Pieces Black Sesame Paste Soup with Mochi
H07. Red Bean Paste Soup with Sago
H09. Mo Mo Cha Cha
H10. Purple Yam with Sago and Riceball
H12. Black Rice Soup with Dried Longan and Dates
A13. Snow White Juice with Durian and Black Rice
S01. 2 Pieces Mango Pancake
S02. 2 Pieces Durian Pancake
04. 3 Pieces Mango Mochi
S05. Mango Mille Crepe
S07. Durian Mille Slice Crepe
S08. Green Tea Mille Slice Crepe
Mango Juice with Sago
Mango Juice with Lychee Jelly
Mango Juice with Herbal Jelly
Snow White Juice with Ice Cream
Mixed Fresh Fruit with Basil Seed
Mixed Fresh Fruit with Sago and Jelly
Durian Dessert Bowl
Mango Sundae
Combo B
Combo C
L03. Coconut Ice Cream with Mixed Fruit
L04. Green Tea Sundae with Red Bean
L05. Triple Ice Cream Delight Green Tea, Vanilla and Mango
L06. Waffle Ice Cream Sandwich
Fresh Fruit Waffle
Bubble Milk Tea
Classic Milk Tea
Jasmine Milk Green Tea
Taro Milk Tea
Pudding Milk Tea
Red Bean Milk Tea
Thai Milk Tea
Fresh Taro Coconut Smoothie
Strawberry Smoothie
Durian Smoothie
Mango Slush
Jasmine Green Tea
Strawberry Green Tea
Black Sugar Milk with Grass Jelly
Triple Sesame Waffle
Ujikintoki Kai Waffle
Plain Bubble Waffle
G. Durian with Taro Balls
Watermelon Sago Combo
Papaya Sago Combo
Mix Fruit Sago Combo
Dragon Fruit Sago Combo
Durian Supreme
Snowy Durian
Thai Tea Mirukulu
Fuji Mountain Waffle
Berries Festival Waffle
Cheese Savory Crepe
Black Sesame Hot Tong Sui
Black Glutinous Rice with Coconut Milk Tong Sui
Taro Sago with Coconut Milk Tang Sui
Muo Muo Cha Cha Tong Sui
Stewed Xueha Paste Tong Sui
25 Pieces Mini Sweet Ball with Ginger Soup
Kulu Mixed Fruit Special
Mango Pomelo
Ice Cream Mario
Red Bean Matcha Tofu Pudding
Matcha Sawdust Pudding
Shrimp Salad
Salmon Salad
BBQ Lamb and Fries
Shrimp and Fries
Fish and Fries
Wings
Tilapia Sandwich
Shrimp Sandwich
Jerk Chicken Gyro
Sweet Potato Fries
Seasoned Fries
Macaroni Pie
Veggie Rice
Macaroni Salad
Pizza French Fries
Chicken Fingers
Garlic Knots
Garlic Knots with Cheese
Cheese Fries
Falafel Over Salad
Chef
s Salad
Fried Chicken Salad
Grilled Chicken Salad
Cheese Calzone
Pepperoni Roll
Sausage Roll
Spinach Roll
Chicken Roll
Steak Roll
White Pizza
BBQ Chicken Pizza
Gyro Pizza
Burger Pizza
Hawaiian Pizza
Meat Lovers Pizza
Super Supreme Pizza
Deep Dish Pizza
Baked Ziti
Lasagna
Pizza Burger
Mushroom Cheeseburger
Cheese Turkey Burger
Chicken Gyro Platter
Lamb Gyro Sandwich
Fish Sandwich
Buffalo Chicken Steak
Tuna Melt
Baklava
Turkish Tea
Babaganush
Smoked Eggplant
White Bean Salad
Tabuleh
Lebne
Spicy Mashed Vegetables
Russian Salad
Eggplant with Tomato Sauce
Cacik
Mixed Appetizer Plate (Small)
Mixed Appetizers Plate (Large)
Fried Calf
s Liver Cubes
Falafel Plate
Cheese Roll (Cigar Rolls)
Fried Calamari
Side Rice
Red Lentil Soup
Chicken Vegetable Soup
Lahmacun
Cheese Pie
Spinach Pie
Pastrami Pie
Mixed Pie
Chicken Gyro
Grilled Chicken Wings
Chicken Adana
Istanblue King
s Special Meter Long Adana Kebab
Lamb Gyro
Mixed Grill
Combination Dish
Grilled Salmon
Grilled Dorado
Grilled Bronzini
Shrimp Casserole
Mixed Vegetable Casserole
Iskender Kebab
Yogurt Lamb Shish Kebab
Yogurt Chicken Shish Kebab
Mixed Lamb and Chicken Gyro Sandwich
Kofte Burger (new)
Lunch Special
Rice Pudding
Kunefe
Uludag Gazoz
Stuffed Grape Leaves
Eggplant Salad
Haydari
Tabuli
Piyaz
Mixed Appetizers
Fried Liver Cubes
7 Pieces Falafel with Hummus
White Sauce
Hot Sauce
Lentil Soup
Chicken Soup
Shepherd Salad
Mediterranean Salad
Gyro
Adana Kebab
Kofte Kebab
Lamb Chop
Chicken Chops
Chicken Wings
Meat Pie
Sucuklu Kasarli Pide
Branzini
Salmon Kebab
Shrimp Kebab
Gyro Sandwich
Gyro Wrap
Chicken Gyro Sandwich
Chicken Gyro Wrap
Adana Sandwich
Falafel Sandwich
Falafel Wrap
Lamb and Chicken Shish Kebab Combination
Lamb and Chicken Gyro Kebab Combination
Lamb and Chicken Chops Combination
Brown Top Pudding
Almond Pudding
Tiramisu
Baba Mussel
Bazooka
Coconut Shrimp
Dynamite
Seafood Dynamite
Garlic Shrimp
Gyoza
Japanese Pizza
Oshi Duck
Paradise
Soft Shell Crab
Tako Su
Oyster Shot
Spicy Tuna / Salmon Ami
Wasabi Crackers
Live Scallop
Live Uni
Omakase
Kani Salad
Mango Kani Salad
Roast Duck Salad
Clear Soup
Seafood Soup
Dragon
Emmons
Godzilla
Lion King
Moscow
New York
Odessa
Phoenix
Rainbow
Red Dragon
Sweetheart
Spider
Summer
Spice Girl
Tiger
Winter
Astada
White Ninja
Caribbean
Crazy Salmon
Dream
Ebi Tornado
Excellent
Halloween
Hawaii
Julia
Ksenia
Maya
Michelle
Putin
Russian Girl
Sarah
Sasha
Sheepsheadbay
Sunflower
Valentine
s
Wasabi
Wasabi Lobster
Alaskan
Avocado
Boston
California
Cucumber
Eel
East
Ginza
Mango
Oshinko
Philadelphia
Spicy Salmon
Spicy Scallop
Spicy Tuna
Sweet Potato Roll
Tuna
Yellowtail
Mackerel
Squid
Octopus
Hokkaido Uni (Sea Urchin)
Tri-Color Sashimi
Beef Negimaki
Chicken Katsu
Pineapple Fried Rice
Seafood Yaki Udon or Soba
Vegetable
Tofu
Seafood
Sashimi Lunch
Hibachi
Ice Cream Tempura
Fried Banana
Fried Banana Hat
Green Tea Crepe Cake
Creme Brulée Cheesecake
Thai Iced Tea
Golden Tofu
Curry Puffs
Tom Yum
Tom Ka
Shrimp Rolls
Vegetable Dumplings
Pork Sausage
Satay
Crispy Squid
Green Mango Salad
Green Papaya Salad
Sliced Beef Salad
Seafood Salad
Squid Salad
Drunken Noodles
Pad See Ew
Basil Fried Rice
Sweet Chili Sauce
Tamarind Sauce
Sweet and Sour
Pad King
Pad Pak
Pad Graprow
Tiger Tear
Gai Rad Prik
Pad Grapow Moo Kai Dow
Fish in the Garden
Tom Yum Noodle (Dinner Only)
Classic Noodle Soup (Dinner Only)
Quid Diow (Dinner Only)
Jasmine Rice
Sticky Rice
Peanut Sauce
Cucumber Relish
Sweet Mango Sticky Rice
Fried Ice Cream
Lychee Juice
Thai Iced Coffee
Lychee Thai Ice Tea
Chicken Satay
Thai Chicken Wings
Prawn Roll
Crispy Spring Roll
Fish Cake
Lemongrass Soup
Papaya Salad
Crispy Duck Salad
Top Thai Fried Rice
Spicy Basil Fried Rice
Green Curry Fried Rice
Pad Woon Sen
Pad Kee Maow
Noodle Soup
Tom Yum Noodle Soup
Basil Sauce
Garlic Sauce
Lemongrass
Prik Sot
Green Curry
Red Curry
Panang Curry
Massaman Curry
Mango Red Curry
Top Thai Curry
Yellow Curry
Jungle Curry
Double Greens
Vegetable Delight
Hot Ocean
Pad Talay
L5. Pad Thai Lunch Special
L6. Pad Se Ew Lunch Special
L7. Pad Khee Maow Lunch Special
Coconut Pudding
Mexican Soda
Hot dog
Tacos Blue Agave
Zincronisada
Bensonhurst Burrito
Pollo Light
Camarones Doa Lole
Salmon con Epazote
Salmon ala Mexicana
Blue Agave French Toast
Steak 
 Eggs
Mexican Burger
Cantinflas Omelette
Huevos Vegetarianos
Huevos Aztecas
Cochinito Cobb Salad
Cazuela de Huevo
Huevos de Campo
Huevos Divorciados
Moritas Rellenas
Ceviche Blue Agave
Elote
Chips and Salsa
Tostadas
Nachos
Pozole Rojo
Chilaquiles
Mole Poblano
Chuletas Ahumadas
Carne Asada
Steak Maya
Fajitas Blue Agave
Steak Ranchero
Tortas
2 Carnitas Tacos
Quesadilla Blue Agave
Quesadilla
Chicken burrito
beef Burrito
Pork Burrito
Shrimp Burrito
Fresh Made Guacamole
Shrimp Flautas
Chela
Tostada de Mariscos
Queso Fundido
Tortilla Soup
Chicken Tacos
Steak Tacos
Tacos de Cochinita
Fish Tacos
Mixed Tacos
Shrimp Tacos
Vegan Tacos
Vegetarian Budin
Vegetarian Enchiladas
Mole Poblano Enchiladas
Northern Mexican Enchiladas
Ribs Torta Oaxaquena
Chicken Budin Azteca
Ribs a la Diabla
Salmon a la Suiza
Seafood Enchiladas
Camarones Huatulco
Carne Oaxaquena
Sweet Plantain
Pico de Gallo
Mushrooms
Rice and Beans
Potato fries
Torta Ahogada
Eggs and Chorizo Enchilada
Steak and Eggs
Benedict Arellano
Corn Pancakes
Potato Fries
Corn Cakes
Vanilla bean stuffed Churros
Eggs Any Style
Short Rib Hash and Eggs
Hangtown Fry
Pan Seared Bluefish Cakes
House Smoked Salmon
Buttermilk Pancakes or Sourdough French Toast
Quiche
Housemade Granola
8 oz. Stone Park Burger
Cobb Salad
Stone Park BLT
Oyster Po
 Boy
The Chosen
Build Your Own - (choice of four)
Buttermilk Biscuit
Black Bear maple syrup, grades 
A
 or 
B
Andouille sausage
Breakfast Sausage
Braised Greens
Boing
Guacamole
Flautas de Pollo
Sopa de Tortilla
Queso Fundido con Chorizo
Zarape de Pato
Croquetas de Jaiba
Taco de Pescado Appetizer
Ceviche de Atun
Gazpacho
Ensalada de Aguacate y Zanahorias
Ensalada de Betabeles
Jicama Botana
Filete Taquitos
Carne Asada Taquitos
Taquitos de Panza
Enchiladas Suizas
Enchiladas de Mole Negro Oaxaqueno
Pollo Norteno
Carnitas de Fonda
Carne Asada con Hongos
Camarones Adobados
Callos y Camarones
Mixiote de Cordero
Nopalitos
Esquites
Black Beans
Wild Mushroom and Truffle Croquetas
Mexican Street Corn
Jamaican Street Corn
Bacon Dates
Crispy Brussels Sprouts
Roasted Cauliflower
Shrimp and Chorizo Mac and Cheese
Charred Spanish Octopus
Chicken Tortilla Soup
Mexican Caesar Salad
Chayote Citrus Salad
Crispy Goat Cheese and Beet Salad
Papaya Pico de Gallo
Hot Queso Dip
Dip Sampler
Lobster Guacamole
BBQ Chicken Nachos
Miti Nachos
Tofu Empanadas
Spicy Chicken Empanadas
Cheeseburger Empanadas
Buffalo Chicken Wings
Jerk Honey Chicken Wings
Mango Coconut Chicken Wings
Cheese Quesadilla
Chicken Quesadilla
Shrimp Quesadilla
Lobster Quesadilla
Vegan Enchiladas
Chicken Mole Enchiladas
Shrimp Enchiladas
Chicken Fajitas
Shrimp Fajitas
Steak Fajitas
Baked Tofu
Plantain-Crusted Mahi Mahi
Hanger Steak
Tofu Black Bean Tacos
Green Goddess Tacos
Fried Cheese Tacos
Crispy Fish Tacos
Grilled Fish Tacos
Octopus Tacos
Tuna Poke Tacos
Crispy Chicken Tacos
Jerk Chicken Tacos
Pork Belly Tacos
Gringo Tacos
Western BBQ Steak Tacos
Carne Asada Tacos
Mix and Match Tacos
Yellow Rice
Maduros
Tostones
Coconut Arroz con Gandules
Watercress with Pineapple
BBQ Chicken Taco Lunch
Churros
Tres Leches Cake
Molten Chocolate Cake
Xangos
Mac n
 Cheese Balls
Poutine
House Special
Shroom 
 Swiss
Fried Mozz Sammy
Steak Frites
Bread Pudding
Gravlax
Hangover Soup
Fried Chicken and Waffles
Migas
Cubano
Chicken Fried Steak
Biscuit Benedict
Biscuits and Sausage Gravy
Cheese Grits
Biscuit
Home Fries
Eggs
Oatmeal
Chicken Liver Crostini
Sidecar Salad
White Bean Dip
Beet Salad
French Onion Soup
Gambas
Brandade
Sidecar Club
Pappardelle
Buttermilk Fried Chicken
Duck Breast
Scallops
Root Mash
Sauteed Kale and Bacon
Fried Chicken Salad Sandwich
BLT
Juice
Abita Root Beer
Tea
