lebanese style fruit cocktail
roasted pepper hummus medium
spinach feta hummus medium
sundried tomato hummus medium
spicy pepper hummus medium
mushroom hummus medium
hummus tahini medium
flavor hummus tahini medium
flavor hummus fill it medium
hummus morrocan beans medium
flavor hummus morrocan beans medium
hummus falafel medium
flavor hummus falafel medium
hummus large
jalapeno cilantro hummus large
roasted pepper hummus large
spinach feta hummus large
sundried tomato hummus large
mushroom hummus large
spicy pepper hummus large
hummus tahini large
hummus fill it large
hummus morrocan beans large
hummus falafel large
flavor hummus tahini large
flavor hummus fill it large
flavor hummus morrocan beans large
flavor hummus falafel large
cake batter hummus
chocolate hummus
cookie dough hummus
cheese bourekas
potato bourekas
spanikopita
hand cut fries
sweet potato fries
zatar garlic pita chips
cinnamon toast pita chips
plain salted pita chips
pita
whole wheat pita
laffa
small soup
large soup
baklava
rugelach
moroccan cigars
nacho roasted chick peas
parmesan garlic roasted peas
spicy roasted chick peas
fresh squeezed orange juice
poland spring oz
spring poland oz
sanpellegrino can
can of soda
perrier bottle
s pellegrino
vegan lebanese chick peas stew
grilled chicken caesar salad
santa fe salad
create your own quinoa bowl
create your own pasta
iced coffee
iced decaf coffee
iced flavored coffee
iced tea
fresh orange juice
spring water
tropicana juice
canned soda
bottled soda
pure leaf tea
sobe
tazo
badoit
v vegetable juice
nesquik
gatorade
naked
flavors organic roast
pure water decaf coffee
flavored coffee
brewed leaf tea
hot chocolate
aloha berry smoothie
california dreaming smoothie
flavors wake up smoothie
summer breeze smoothie
peanut power
green machine
apple pie quinoa oatmeal
bagel
muffin
low fat muffin
croissant
ham and cheese croissant
flavor chicken soup
turkey chili
lobster bisque
shrimp corn chowder
vegetable gumbo
italian wedding
organic split pea
tomato cheddar
asian chili chicken salad
grilled chicken caesar salad
greek salad
bistro salad
shrimp caesar salad
wasabi sesame crusted salmon salad
all natural cranberry plainville turkey side salad
organic egg side salad
albacore tuna side salad
organic lemon chickpea side salad
southwestern pasta side salad
organic sesame noodles side salad
fiesta chicken salad
falafel salad
classic caesar salad
santa fe salad
south beach salad
california cobb salad
pesto chicken sandwich
fresh mozzarella sandwich
albacore tuna sandwich
baked chicken cutlet sandwich
grilled fillet of salmon sandwich
maryland crab cake sandwich
italian submarine sandwich
monterey grilled chicken sandwich
turkey cuban melt
chicken parmigiana
smoked turkey cheddar
chicken fajita
buffalo chicken
crispy chicken mozzarella
chicken fresco
eggplant frita
turkey bistro
steak fontina
california turkey
albacore tuna salad
basil chicken salad
vegetarian sandwich
cranberry turkey salad sandwich
roasted beef cheddar
create your own quinoa bowl
ranchero quinoa bowl
moroccan quinoa bowl
southwestern quinoa bowl
asian ginger quinoa bowl
teriyaki shrimp quinoa bowl
create your own pasta
penne a la vodka pasta
tortellini al funghi pasta
whole wheat penne genovese pasta
linguine del mare pasta
cape cod
lays chips
miss vickie s chips
deep river chips
pretzels
sugar free jello
rice pudding
chocolate pudding
vegan lebanese chick pea stew
bottled soda
custom salad
fiesta chicken salad
santa fe salad
chicken parmigiana melt
create your own quinoa
southwestern quinoa bowl
create your own pasta
flavors organic blend
flavors decaf coffee
flavored coffee
brewed leaf tea
hot chocolate
seafood jambalaya
iced coffee
iced tea
iced flavored coffee
iced decaf coffee
fresh orange juice
water
canned soda
bottled soda
pure leaf tea
gatorade
nesquik
naked
sparkling water
pure coconut water
sobe
tazo
green machine smoothie
summer breeze smoothie
aloha berry smoothie
flavors wake up smoothie
peanut power smoothie
california dreaming smoothie
flavors chicken soup
italian wedding soup
lobster bisque
turkey chili
broccoli cheddar
chilled avocado with corn soup
chilled gazpacho
manhattan clam chowder
organic minestrone soup
turkey gumbo
custom salad
fiesta chicken salad
falafel salad
classic caesar salad
santa fe salad
south beach salad
california cobb salad
guacho salad vegan
chicken caesar salad
greek salad
wasabi sesame crusted salmon salad
asian chili chicken salad
bistro salad
jumbo shrimp caesar salad
mediterranean quinoa side salad
avocado chicken side salad
tofu edamame side salad
organic lemon chickpea side salad
organic egg side salad
albacore tuna side salad
all natural cranberry plainville turkey side salad
pesto chicken sandwich
fresh mozzarella sandwich
albacore tuna sandwich
baked chicken cutlet sandwich
grilled fillet of salmon sandwich
maryland crab cake sandwich
italian submarine sandwich
monterey grilled chicken sandwich
chicken parmigiana melt
smoked turkey cheddar melt
buffalo chicken melt
crispy chicken mozzarella melt
chicken fresco melt
eggplant frita melt
chicken fajita melt
turkey bistro melt
steak and fontina melt
turkey cuban melt
california turkey
albacore tuna salad
basil chicken salad
roast beef and cheddar
cranberry turkey salad
vegetarian sandwich
create your own quinoa
ranchero quinoa bowl
moroccan quinoa bowl
southwestern quinoa bowl
asian ginger quinoa bowl
teriyaki shrimp quinoa bowl
create your own pasta
penne alla vodka
penne primavera
tortellini al funghi
whole wheat penne genovese
linguine del mare
assorted cookies
brownie
chocolate pudding
sugar free jello
rice pudding
canned soda
naya roll
naya bowl
naya salad
beef shawarma roll
chicken shawarma roll
kafta lamb kebab roll
spicy beef meatballs rolls
chicken shish taouk roll
falafel roll
cauliflower roll
hummus
spicy hummus
olive hummus
baba ghannouj
fassoulia
grape leaves
moudardara
labne
yogurt cucumber
green red cabbage
tabboule salad
fattoush salad
half portion little tabboule salad
new little cauliflower tabboule salad
lentil soup
tomato and feta soup
kibbe
pumpkin kibbe
fatayer sabenegh
sambousik jebne
rekakat
falafel piece
side of rice with vermicelli
side of freeka
falafel
oz yoghurt cucumber
oz feta cheese herbs dips
pita chips
side of red sauce
side of green sauce
side of tahini
canned soda
poland spring
san pellegrino
homemade natural watermelon drink
homemade natural lemonade
yogurt drink
vita coconut water box
vitamin water bottle
baklava
nammoura
shawarma platter
falafel balls
mix party package
falafel party package
chicken shawarma party package
falafel sandwich
falafel platter
hummus sandwich
hummus platter
sabich sandwich
sabich platter
shawarma sandwich
shawarma platter
lamb gyro sandwich
lamb gyro platter
combo sandwich
combo platter
spread platter
vegetarian platter
avacado hummus sandwich
shawarma tacos
lamb tacos
combo tacos
cheeseburger
double cheeseburger
veggie burger
feta lamb burger
lamb burger
eggplant burger
veggie burger platter
cheeseburger platter
double cheeseburger platter
feta lamb burger platter
lamb burger platter
eggplant burger platter
chicken over rice lunch
lamb over rice lunch
combo over rice lunch
kale caesar salad
falafel salad
greek salad
quinoa salad
mid eastern salad
falafel balls
french fries
cheese fries
yucca fries
onion rings
sweet potato fries
guacamole hummus
home made tzatziki
baba ganoush
hummus
tahini
pita bread
house side salad
grape leaves
home made pita chips
pickled cabbage
quinoa tabouli
side of black olives
side order chick peas
fresh falafel mix
brew kombucha oz bottle
beetlogy juice
hal s seltzer
water
can soda
mexican bottle soda
starbucks teavana
lentil soup
lemonade
orange juice
baklava
baklava
grape leaf
grape leaf
