plain cheese pie
rucola pera e gorgonzola
caesar salad
insalata tricolore
rucola e parmigiano
insalata di pomodori
penne al pomodoro
rigatoni funghi e salsiccia
fusilli silani
spaghetti alle vongole veraci
trofie al pesto
ravioli alla salvia
farfalle alla campagnola
gnocchi alla sorrentina
linguine allo scoglio
spaghetti alla carbonara
rigatoni alla norma
fettuccine alla bolognese
linguine gamberetti e zucchine
cotoletta di vitello alla milanese
petto di pollo alla griglia
pollo e salsicce
saltimbocca alla romana
branzino al forno
salmone al vino bianco e capperi
pescespada alla griglia
bistecca ai ferri
agnello scottadito
patate al rosmarino
broccoli di rabe
cavolfiore
margherita pizza
calabria pizza
formaggi pizza
brigante pizza
marinara sicilian pizza
quattro stagioni pizza
pescatora pizza
bufalina pizza
ortolana pizza
paesana pizza
funghi e tartufo
pignolata della casa
cannoli
profiteroles
cassata siciliana
tiramisu
ananas
ricotta cheesecake
gelato
tartufo
bufala e prosciutto di parma
meatballs
serafina kale salad
penne al pomodoro e basilico
penne stolichnaya
rigatoni alla bolognese
spaghetti cacio and pepe
margherita pizza
grilled fresh atlantic salmon
chicken breast paillard
broccoli carrots and zucchini
plastic utensils
tartare di sofia
sodas
bottled sparkling water
bottled flat water
zuppa del giorno
bruschetta
calamari
crostini di sofia
bresaola
meatballs
il tagliere
cheese plate
buffalo mozzarella pomodoro and basilico
prosciutto e bufaline
burrata as you like it
mista verde
di sofia
arugula e parmigiano
chicory salad
insalata di porto cervo
beet salad
goat cheese and spinach salad
serafina kale salad
avocado san pietro
serafina chicken salad
carciofi e parmigiano
avocado artichoke tartare
arugula e filetto
mediterranean octopus
penne al pomodoro e basilico
spaghetti aglio and olio al pacino
penne stolichnaya
tagliolini di portofino
paglia e fieno
tagliolini di cortina al pollo
spaghetti carbonara
rigatoni alla bolognese
gnocchi di mamma
garganelli primavera
spaghetti cacio and pepe
farfalle al limoncello
tris of sofia
linguine alle vongole
tagliolini al tartufo nero
spaghetti all aragosta
spaghetti al caviale
ravioli alla salvia
ravioli ai porcini
ravioli degli innamorati
risotto porcini
risotto veuve clicquot
ravioli al tartufo nero
marinara pizza
margherita pizza
napoletana pizza
v i p margherita pizza
doc margherita pizza
al salame piccante pizza
regina margherita pizza
alla burrata pizza
formaggi d’italia pizza
stagioni pizza
alla norcina pizza
alle erbe pizza
primavera pizza
ai funghi pizza
portofino pizza
goat cheese pizza
bianca pizza
di fabio pizza
all uovo pizza
il calzone pizza
bresaola pizza
al salmone pizza
ai porcini pizza
tartufo nero pizza
la dolce vita
il cestino
leggera
ligure
di sofia
di serafina
avocado toast
vegetarian platter
grilled fresh atlantic salmon
filet of bass al pinot grigio
branzino all forno
pan seared scallops
blackened wild caught swordfish
filet mignon burger
chicken breast paillard
steak and fries
veal scaloppine al limone
filet mignon al pepe verde
costata alla fiorentina
il cestino
fries
nonna mash
roasted potatoes
lentils
spaghetti squash
broccoli carrots and zucchini
sauteed spinach
garden fresh braised vegetables
gelati and sorbetti
affogato
the chocolate sensation
la torta di mele verdi
il tiramisu
torta della nonna
chocolate mousse
profiteroles
mozz sticks
eggplant parm
chicken parm dinner
spicy rotini
mozz sticks
meatballs
crispy zucchini
buffalo cucumbers
fresh mozz
garlic bread
san gennaro ribs
greek farro
caesar salad
sunday salad
chopped salad
arugula salad
chicken parm sandwich
meatball parm sandwich
special sandwich the ozersky
special sandwich italian combo
chicken caprese
spicy avocado
tomato mozz
ham cheese
salami provolone
burger supremo
penne scampi
fusilli bolognese
baked ziti
spaghetti and meatballs
eggplant parm
chicken parm dinner
pork milanese
chicken limone
italian fries
house salad
spicy rotini
pasta salad
rosemary potatoes
classic ice cream cake
s more ice cream cake
fudge brownie à la mode
soda
poland springs water
polpette
insalata cesare
insalata contadina
spaghetti benessere
pizza margherita
pizza diavola
olive marinate
eggplant parmigiana
burrata e prosciutto
calamari fritto
polpette
carpaccio di manzo
arancini di riso
carciofi al limone
bruschetta classica
salumi e formaggi
bruschetta al prosciutto
minestrone
insalata cesare
insalata contadina
insalata fresca
insalata rucola
insalata spinaci
insalata caprese
insalata mediterranea
spaghetti benessere
gnocchi sorrentina
tagliolini neri ai frutti di mare
rigatoni al ragu napoletano
pappardelle alla bolognese
ravioli ricotta e spinaci
rigatoni alla norma
tagliolini tartufo and speck
fettuccine boscaiola
lasagna
gnocchi pesto genovese
gnocchi quatro formaggi
pizza margherita
pizza montanara
pizza rucola
pizza formaggi
pizza vegetali dell orto
pizza diavola
pizza capricciosa
pizza campana
pizza da mikele
pizza tartufata
pizza tribeca
bufala pizza quadrata
frusta piccante
frusta alla parmigiana
cotoletta da mikele
pollo cacciatora
kid penne pomodoro
kid penne al burro
kid cotoletta di pollo
kid polpettine
carciofini
carpaccio di bresaola
fritto misto
grilled vegetable salad
insalata di barbabietole
insalata di cesare
insalata di rucola
sm piatto del salumiere
lg piatto del salumiere
polipo
prosciutto di parma appetizer
parma panino
federica
claudio
camilla
sebastiano
linda
grilled seasonal vegetables
sauteed spinach
sauteed rainbow carrots
herbed sautéed potatoes
sautéed string beans
grilled chicken
grilled shrimp
gnocchi
bucatini arrabbiata
pappardelle
black linguine
calamarata
bucatini cacio e pepe
garganelli bolognese
spaghetti carbonara
fusilli avellinesi
lasagna
parmigiana di melanzane
brodetto di pesce
pesce del di
pollo alla milanese
scaloppine di pollo
tagliata
torta di cioccolato
crostata di frutta
cannolo
sorbetto
gelato
classic tiramisu
assorted savory puff pastries
assorted cheese
assorted salumi
assorted salumi cheese
arugula salad
insalata di cesare
insalata di barbabietole
mixed greens
assorted panini
lasagna bolognese
pollo alla milanese
scaloppine di pollo
parmigana di melanzane
garganelli bolognese
fusili avellinesi
pan seared salmon
tiramisu
assorted dessert tray
mozzarella pomodoro basilico
pecorino e kale insalata
cavolini
our signature meatballs
gamberi e aglio e olio
crostini porchetta
crostini di pulpo
tortino di granchio e funghi
warme goat cheese in house sauce
baby back ribs
gamberoni e carciofi
cinghiale con polenta
vongole oreganate
bruschetta ai funghi e montasio
spicy artichokes italian olives
salsiccia e lenticchie
melanzane e caprino
datteri e gorgonzola
calamari in umido
costicine di agnello
cozze marinate
gamberetti lenticchie e polenta
pappardelle cinghiale
tagliatelle bolognese
linguine vongole
gnocchi sorrentina
ravioli ricotta
lasagne bolognese
maccheroni al tartufo
spaghetti e polpette
tortelloni d aragosta
rigatoni e gamberi
penne pesto e carciofi
orecchiette salssicia rapini
garganelli osso buco
tortelli prosciutto e piselli
fettuccine ai funghi
insalata nizzarda
cesare
bietole e caprino
aragosta e avocado
feta e peperoni
miste e pere
pollo arrosto
arugula e parmigiano
mozzarella pomodoro basilico
pecorino e kale insalata
oven roast chicken
carre di agnello
salmone e spinaci
risotto d arogosta
bistecca alla griglia
branzino al limone
scaloppine di vitello
brasato di agnello
manzo carpaccio
tonno carpaccio
pulpo carpaccio
robiola
taleggio
ashed goat
parmigiano reggiano
gorgonzola
montasio
camembert
coppa
soppressata
prosciutto di san daniele
speck
bresaola
mortadella
cacciatorini
fagiolini
lenticchie
roasted potatoes
spinaci
cavolfiori
rapini
bietole
cavolini
polenta
mashed potatoes
burrata
octopus salad
penne all arrabibiata
meat lasagna
homemade fettuccine with beef ragu alla bolognese
pear and ricotta fagottini with cream and truffle oil
black linguine with spicy tomato shrimp and arugula
still water
sparkling water
aranciata
limonata
coca cola
espresso
cappuccino
americano
hot tea
baby arugula cherry tomatoes and shaved parmigiano salad
roasted beets with yogurt salad
braised kale pickled red onion walnuts and parmigiano salad
fennel orange and parmigiano salad
avocado cucumber red onion and tomatoes salad
italian meat plate for
italian meat plate for
italian cheese plate for
italian cheese plate for
mozzarella di bufala with eggplant caponatina
burrata pugliese with prosciutto di parma
grilled polenta with mushooms truffle oil and cheese fondue
grilled octopus on chickpea puree
prawns and crab salad with avocado
penne all arrabibiata
rigatoni guanciale with red onion and tomato
meat lasagna
homemade spinach fettuccine with mushrooms
spaghetti with sausage and cream alla norcina
spinach and ricotta ravioli with fresh tomato
homemade fettuccine with beef ragu alla bolognese
pear and ricotta fagottini with cream and truffle oil
black linguine with spicy tomato shrimp and arugula
saffron gnocchi with brown butter sage
pappardelle white ragu alla genovese
oven roasted french cut chicken breast
roasted maialino with fingerling potatoes
ribeye steak
roasted salmon with lemon and capers
oven baked branzino with tomato and olives
side of braised kale and toasted pinenuts
braised brussels sprouts
roasted cauliflower with raisin
roasted fingerling potatoes
tiramisu
chocolate and almond cake
chocolate cannoli
dark chocolate profiteroles
tartufo gelato
torta ai pinoli
chocolate souffle
canned soda
liter pellegrino
liter panna
fusilli lunghi all amatriciana
spaghetti limone
fusilli lunghi cacio e pepe
spring vegetable salad
roasted baby beets
local burrata
polpette meatballs
spring vegetable risotto
english pea ricotta ravioli
squid ink linguine
garganelli
tagliatelle alla bolognese
orecchiette
spaghetti pomodoro
spaghetti polpette meatballs
pizza bianca
margherita pizza
forest mushroom pizza
diablo carne pizza
chicken parmigiana
roasted local chicken
eggplant parmigiana
artichokes alla romana
asparagus
roasted carrots
seasonal crostata
almond ricotta cake donuts
dark chocolate budino
tiramisu
seasonal gelato
seasonal sorbet
vanilla gelato
chocolate gelato
utensils for order
arugula salad tray
mixed green salad tray
caprese platter tray
panini tray
broccoli rabe tray
arancini tray
vegetable crudite tray
artichokes alla romana tray
polpette meatballs tray
chicken parmigiana sliders tray
polpette parmigiana sliders tray
bruschetta platter
antipasto tray
rigatoni pomodoro tray
penne primavera tray
penne vodka tray
orecchiette tray
rigatoni bolognese tray
eggplant parmesan tray
chicken parmesan tray
chicken piccata tray
homemade tiramisu tray
caesar salad
tuscan kale salad
pepperoni pizza
crispy calamari
braised meatballs
crab croquettes
brussels sprouts
grilled octopus
s b wings
truffle mac and cheese
mozzarella fritters
prosciutto burrata crostini
avocado burrata crostini
sauteed sweet bay scallops
baby arugula salad
caesar salad
stracciatella caprese salad
tuscan kale salad
lobster spaghetti
squid ink tagliarini
cacio e pepe
braised octopus fusilli
seafood linguine
cavatelli carbonara
rosemary pappardelle
spicy vodka rigatoni
spaghetti and meatballs
margherita pizza
marinara pizza
pepperoni pizza
spicy italian pizza
pancetta and egg pizza
parma pizza
ragu pizza
smoked mozzarella pizza
bella della pizza
mezzo burrata pizza
sausage pizza
eggplant parmigiana pizza
brussels sprouts pizza
cheese pizza
market vegetable pizza
mushroom pizza
parma bianca pizza
prime steak and fries dinner
atlantic salmon dinner
chicken milanese dinner
lemon chicken dinner
baked jumbo shrimp dinner
chicken parmigiana dinner
seasoned french fries
roasted sicilian eggplant
spaghetti
garlic broccoli rabe
yukon gold mashed potatoes
charred asparagus
grilled chicken
grilled shrimp
caramelized banana foster
warm molten chocolate cake
tiramisu
mixed berry tart
soda
sparkling water
still water
crispy calamari
neapolitan fries
arancine dinner
cacio e pepe dinner
gnocchi della casa dinner
pappardelle bolognese dinner
arancine dinner
caprese di bufala dinner
fritto misto dinner
carpaccio di manzo dinner
polenta e salsiccia dinner
polpette ricotta dinner
salumi e formaggi for dinner
polpo alla griglia dinner
cozze profumo di mare dinner
gamberi toscana dinner
melanzane al forno dinner
pasta e fagioli dinner
stracciatella dinner
insalata caesar dinner
insalata di rucola dinner
insalata tre colori dinner
insalata di cavolo dinner
cacio e pepe dinner
spaghetti al pomodoro e basilico dinner
ravioli al funghi dinner
cavatelli barese dinner
linguine nere del mare
gnocchi della casa dinner
linguine pepe nero carbonara dinner
pappardelle bolognese dinner
fussili genovese dinner
risotto mare e terra dinner
dentice livornese dinner
salmone dinner
branzino alla griglia dinner
filetto al barolo dinner
vitello milanese dinner
scalloppine limone dinner
polletto ai mattone dinner
pollo al funghi dinner
sauteed broccoli rabe dinner
sauteed spinach dinner
roasted garlic potatoes dinner
sauteed asparagus dinner
broccoli dinner
insalata cesare salad
garden salad
margherita pizza
spaghetti bolognese
rigatoni alla vodka
parmigiana chicken
antipasto casa bella
antipasto toscana
ravioli fritti
vongole arreganata
caprese
carciofini alla romana
mixed cheese plate
gamberi cocktail
zuppa di vongole o cozze
zuppa del giorno
spiedini alla romana
pasta e fagioli
mozzarella in carrozza
insalata cesare salad
insalata cesare with chicken
insalata cesare with shrimp
trecolore salad
insalata di portobello salad
mama s string bean salad
garden salad
arugula salad
margherita pizza
rustico pizza
spaghetti bolognese
spaghetti carbonara
spaghetti puttanesca
spaghetti marinara
tortelini casa bella
papardelle alla funghetti
rigatoni alla vodka
fettuccine con salmone
capellini primavera
manicotti casa bella
orechietti salsiccia e rappini
linguini vongole
fettuccine alfredo
fettuccine alfredo with chicken
fettuccine alfredo with shrimp
gnocchi napoletani
spaghetti pescatore
pasta verdi fruti di mare
risotto funghetti
spaghetti with meatballs
ravioli
linguini with garlic and oil
lasagna
calamari fritti
calamari al tuo gusto
gamberi al gusto
branzino marechiara
zuppa di pesce
salmone al gusto
gamberi al gusto with spaghetti
gamberi al gusto with angel hair
pollo scarpariello chicken
pollo ortolano chicken
pollo alla vodka chicken
pollo e rappini chicken
pollo sorrentina chicken
parmigiana chicken
francese chicken
marsala chicken
scaloppini piccata veal
scaloppini salerno veal
saltimboca alla romano veal
vitello napolitano veal
vetello alla portobello veal
veal chop valdostana veal
veal parmiginana
veal francese
veal pizzaiola
veal marsala
sausage peppers and onion
oz black angus steak
lamb chops
eggplant parmigiana
fried zucchini
spinach sauteed
broccoli sauteed
mushrooms sauteed
escarole sauteed
potato croquettes
broccoli rabe sauteed
kids spaghetti with meatball
kids manicotti with tomato and mozzarella cheese
kids chicken finger
olives and cheese and salumi
fried calamari and zucchini
mozzarella tomato and basil bruschetta
wild mushroom truffle bruschetta
buffalo mozzarella prosciutto and tomato
zucchine alla parmigiana
kale caesar salad
spinach salad with portobello
tutta rossa salad
grilled pear salad
spaghetti al pomodoro
penne vodka
fettuccine wild mushrooms
spaghetti alla bolognese
penne tre porcellini
bucatini cacio e pepe
pappardelle oxtail ragu
gnocchi with gorgonzola and spinach
fettuccine with shrimps and asparagus
ravioli of the day
chicken milanese
chicken grilled
chicken saltinbocca
roasted salmon
catch of the day
spinach kale and swiss chard
mix mushrooms trifolati
roasted mix vegetables
smashed roasted potatoes
triple layer ricotta and mascarpone cheesecake
flourless chocolate mousse cake
wild berries panna cotta
diavola pizza
margherita pizza
ortolana pizza
primavera pizza
capricciosa pizza
spaghetti al pomodoro fresco
orecchiette al matarocco marsalese
spaghetti con pesto e pomodorini
penne al profumo di sicilia con tonno e capperi
lasagna della nonna
ravioli spinaci e ricotta alla salvia
ravioli alla contadina
pasta alla norma con scaglie
tagliatelle al ragu bolognese con pate di tartufo
spaghetti al pomodoro e polpette di casa
spaghetti aglio olio e peperoncino
spaghetti alle vongole veraci
ravioli all’ aragosta
bolognese panini
parmigiano panini
siciliano panini
vegetariano panini
venezia panini
bruschetta combo
eggplant bruschetta
pesto bruschetta
matarocco bruschetta
il tagliere
polpettine al forno
prosciutto di parma e mozzarella
la caprese
cuori di carciofi con scamorza
tortino di melenzane
pasta e fagioli soup
zuppa di lenticchie soup
finocchio e arance slalad
l isolana slalad
mista della casa salad
rucola slalad
cannolo siciliano plain
cannolo chocolate and pistachio
tiramisu della casa
grandma’s cake
homemade cheesecake
can soda
can limonata san pellegrino
can aranciata san pellegrino
fresh orange juice
oz still water bottle
oz san pellegrino
